Unnamed: 0,Authors,Title,Citation,DOI,Year,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",institution_info,city_country,LatLng,city_name,GreenPct,NearBodyOfWater,University,NearParks
10,"Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu",Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592",10.1371/journal.pone.0069592,01/01/13,,,1.0,,two sets of duplicated facs panels but different percentages gated points,1,01/26/15,,1.0,,1,"['School of Pharmacy, Second Military Medical University, Shanghai, China', 'School of Pharmacy, Second Military Medical University, Shanghai, China', 'School of Pharmacy, Shanghai JiaoTong University, Shanghai, China', 'School of Pharmacy, Second Military Medical University, Shanghai, China', 'School of Pharmacy, Second Military Medical University, Shanghai, China', 'School of Pharmacy, Second Military Medical University, Shanghai, China', 'School of Pharmacy, Second Military Medical University, Shanghai, China', 'School of Pharmacy, Second Military Medical University, Shanghai, China']","["" China'"", ' Shanghai']","(31.1667, 121.4667)","['shanghai', 'china']",33.83%,False,shanghai jiaotong university,False
11,"Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma",Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1371/journal.pone.0069134,01/01/13,,,1.0,,overlapping microscopy images,1,07/23/14,,1.0,,1,"['Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China', 'Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China', 'Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China', 'Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China', 'Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China', 'Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China', 'Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China']","["" China'"", ' Nanjing', ' Jiangsu']","(32.05, 118.7667)","['nanjing', 'china']",33.67%,False,medical school of southeast university,False
12,"Akrem Abdulsid, Alexander Fletcher, Fiona Lyall",Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,01/01/13,,,,1,reuse of 2 bands multiple times to create blot panel,1,,1.0,,,1,"['University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom', 'University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom', 'University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom']","[' Glasgow', "" United Kingdom'""]","(55.8609, -4.2514)",['glasgow'],33.20%,False,university of glasgow school of medicine,True
13,"Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1371/journal.pone.0084982,01/01/14,,,1.0,,"duplicated, and mirrored blots",1,09/15/14,,1.0,,1,"['Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America', 'Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America', 'Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America', 'Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America']","[' Indiana', ' Indianapolis', "" United States of America'""]","(39.7771, -86.1458)","['indianapolis', 'indiana']",33.95%,False,indiana university school of medicine,False
14,"Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1371/journal.pone.0086342,01/01/14,,1.0,,,duplicated (negative) western blot,1,05/06/15,,1.0,,1,"['National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea', 'National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea', 'National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea', 'National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea', 'Division of Life Sciences, College of Life Sciences and Biotechnology, Korea University, Seoul, Republic of Korea', 'Korea Research Institute of Bioscience and Biotechnology, Daejeon, Republic of Korea', 'School of Biological Sciences, University of Ulsan, Ulsan, South Korea', 'National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea', 'Research Institute of Medical Sciences, Department of Biomedical Sciences, Chonnam National University Medical School, Gwangju, Republic of Korea']","["" Republic of Korea'"", ' Ulsan', ' Daejeon', ' Gwangju', "" South Korea'"", ' Seoul']","(35.1667, 126.9167)","['gwangju', 'seoul', 'daejeon', 'ulsan']",34.31%,False,university of ulsan,False
15,"Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1371/journal.pone.0087003,01/01/14,,,1.0,,"duplicated, and stretched blot",1,04/22/15,,1.0,,1,"['Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America', 'Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America', 'Biochemistry Department, University of Iowa, Iowa City, Iowa, United States of America', 'Stowers Institute for Medical Research, Kansas City, Missouri, United States of America', 'Stowers Institute for Medical Research, Kansas City, Missouri, United States of America', 'Simmons Comprehensive Cancer Center, University of Texas Southwestern Medical Center, Dallas, Texas, United States of America', 'Dana Farber Cancer Institute, Harvard Medical School, Boston, Massachusetts, United States of America', 'Stowers Institute for Medical Research, Kansas City, Missouri, United States of America', 'Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America', 'Program in Genetics, Sackler School of Biomedical Science, Tufts University School of Medicine, Boston, Massachusetts, United States of America', 'Program in Immunology, Sackler School of Biomedical Science, Tufts University School of Medicine, Boston, Massachusetts, United States of America']","[' Texas', "" United States of America'"", ' Iowa City', ' Missouri', ' Boston', ' Massachusetts', ' Iowa', "" 'Simmons Comprehensive Cancer Center"", ' Kansas City', ' Dallas']","(42.3188, -71.0846)","['boston', 'iowa city', 'kansas city', 'dallas']",33.15%,False,tufts university school of medicine,False
16,"Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko",Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1371/journal.pone.0089546,01/01/14,1.0,,1.0,,"Duplicated, and shifted GAPDH gel panel",1,07/28/14,,1.0,,1,"['Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia', 'Department of Biomedical Engineering, Worcester Polytechnic Institute, Worcester, Massachusetts, United States of America', 'Department of Biology and Biotechnology, Worcester Polytechnic Institute, Worcester, Massachusetts, United States of America', 'Department of Biology and Biotechnology, Worcester Polytechnic Institute, Worcester, Massachusetts, United States of America', 'Bioengineering Institute, Worcester Polytechnic Institute, Worcester, Massachusetts, United States of America', 'CellThera, Inc., Worcester, Massachusetts, United States of America', 'CellThera, Inc., Worcester, Massachusetts, United States of America', 'Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia', 'Department of Biology and Biotechnology, Worcester Polytechnic Institute, Worcester, Massachusetts, United States of America', 'Bioengineering Institute, Worcester Polytechnic Institute, Worcester, Massachusetts, United States of America', 'CellThera, Inc., Worcester, Massachusetts, United States of America']","["" United States of America'"", ' Worcester', "" Slovenia'"", ' Inc.', ' Massachusetts', ' Ljubljana', "" 'CellThera""]","(46.05, 14.5167)","['ljubljana', 'worcester']",,,,
17,"Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li",Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0090318,01/01/14,,,1.0,,Mirrored blot panels representing different proteins,1,07/25/16,1.0,,,1,"[""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""National-Local Joint Engineering Research Center of Biodiagnostics & Biotherapy, Xi'an Jiaotong University, Xi'an, P. R. China"", ""Key Laboratory of Environment and Genes Related to Diseases of the Education Ministry, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China"", ""General Surgeon Department of Cadre's Ward, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China""]","[' P. R. China""', "" Xi'an""]","(34.250803, 108.983693)","[""7X2M+8F Beilin, Xi'An, Shaanxi, China""]",33.63%,False,xi'an jiaotong university,True
18,"Christophe Broca,  Elodie Varin, Mathieu Armanet, Cécile Tourrel-Cuzin, Domenico Bosco,  Stéphane Dalle, Anne Wojtusciszyn",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1371/journal.pone.0092066,01/01/14,,,1.0,,duplicated/reused actin blot panels,1,07/07/14,,1.0,,1,"['CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France', 'Laboratory for Diabetes Cell Therapy, Institute for Research in Biotherapy, University Hospital St-Eloi, Montpellier, France', 'CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France', 'Laboratory for Diabetes Cell Therapy, Institute for Research in Biotherapy, University Hospital St-Eloi, Montpellier, France', 'Laboratory for Diabetes Cell Therapy, Institute for Research in Biotherapy, University Hospital St-Eloi, Montpellier, France', 'B2PE Laboratory (Biology & Pathology of Endocrine Pancreas), BFA Unit, Univ. Paris-Diderot, CNRS EAC4413, Paris, France', 'Cell Isolation and Transplantation Center, Department of Surgery, Geneva University Hospitals and University of Geneva, Geneva, Switzerland', 'CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France', 'Laboratory for Diabetes Cell Therapy, Institute for Research in Biotherapy, University Hospital St-Eloi, Montpellier, France', 'CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France', 'Laboratory for Diabetes Cell Therapy, Institute for Research in Biotherapy, University Hospital St-Eloi, Montpellier, France', 'Department of Endocrinology-Diabetes-Nutrition, University Hospital Lapeyronie, Montpellier, France']","[' Univ. Paris-Diderot', ' BFA Unit', ' Montpellier', ' Geneva', "" Switzerland'"", ' CNRS EAC4413', ' Paris', "" 'CNRS UMR 5203"", "" France'"", ""'CNRS UMR 5203"", "" 'Cell Isolation and Transplantation Center"", ' INSERM U661']","(43.6119, 3.8772)","['montpellier', 'paris', 'geneva']",34.04%,False,university hospital lapeyronie,False
19,"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1371/journal.pone.0092305,01/01/14,,,1.0,,Duplicated lanes within different panels - but representing same conditions,1,08/18/14,,1.0,,1,"['Department of Pharmacology, National Medicines Institute, Warsaw, Poland', 'Department of Pharmacology, National Medicines Institute, Warsaw, Poland', 'Department of Genetics, Institute of Biochemistry and Biophysics, Polish Academy of Sciences, Warsaw, Poland']","[' Warsaw', "" Poland'""]","(52.2167, 21.0333)","['warsaw', 'poland']",,,,
