Authors,Title,Citation,DOI,Year,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",Lab Size,Publication Rate,Other Journals Published In,1st Author Affiliation University,1st Author Duration of career,1st Author Highest Degree,1st Author Degree Area,city_country,LatLng,city_name,GreenPct,NearBodyOfWater,NearParks,Insititution,Rank,Overall Score,Academic Reputation Score,Citations per Faculty,Faculty Student Ratio,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash",Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0105049,01/01/14,,,,1,Duplicated set of lanes within the same panel,1,12/12/14,,1,,1,"[nan, 15.0, nan]","[nan, 1.0, 0.24, 0.11]","[{'2019 International Joint Conference on Neural Networks (IJCNN)', '2017 14th IAPR International Conference on Document Analysis and Recognition (ICDAR)', 'arXiv preprint arXiv:2011.02323', 'arXiv preprint arXiv:2109.13711'}, {'Marketing, Technology and Customer Commitment in the New Economy', 'European Journal of Marketing', 'Journal of International Business Studies'}, {'Letters in applied microbiology', 'Sustainability'}]","['Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India', 'Indian Institute of Science Education and Research, Kolkata, India', 'Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India', 'Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India']",,PhD,Biology,"[' Kolkata', ' Varanasi', "" India'""]","(25.3176452, 82.9739144)",[],32.51%,FALSE,FALSE,Banaras Hindu University,,,,,,17.3,,23.8,,,,,,,
"Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",10.1371/journal.pone.0103868,01/01/14,,1,,,Duplicated microscopy panels,1,11/18/14,,1,,1,"[33.0, nan, nan, nan]","[nan, 0.31, 0.33, nan, nan, 0.07]","[{'Nitric Oxide'}, {'Mountain Research and Development', 'NOVATECH 2010', 'Wind Engineering'}, {'2014 International Conference on Computing for Sustainable Global Development (INDIACom)'}]","['Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India', 'Department of Biochemistry, Osmania University, Hyderabad, A.P., India']",,PhD,Biochemistry,"[' Hyderabad', ' A.P.', "" India'""]","(20.593684, 78.96288)",[],33.11%,FALSE,FALSE,Osmania University,1001,,4.4,16.6,4,,,,,,,,,,
"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,01/01/14,,1,,,duplicated microscopy panels,1,05/28/15,,1,,1,"[50.0, 50.0, 50.0, 50.0]","[nan, 0.5, nan, 0.31, 0.25, 0.29, 0.31, nan, 0.18, 0.42, 0.13, nan, 0.24, nan, nan]","[{'Development', 'Autophagy', 'PLoS Biology', 'G3: Genes| Genomes| Genetics', 'G3: Genes, Genomes, Genetics'}, {'Trends in neurosciences', 'PLoS Biology', 'PLoS biology', 'Nature communications'}, {'PLoS Biology', 'Elife', 'Science', 'Biological & pharmaceutical bulletin'}, {'Intensive care medicine', 'PLoS biology'}, {'bioRxiv', 'Development', 'Elife'}, {'Medical Laser Application', 'Developmental psychology', '家畜生态学报', 'Mycotaxon'}, {'The American Journal of Human Genetics', 'PLoS Biology', 'Development'}, {'Journal of Electroanalytical Chemistry and Interfacial Electrochemistry', 'Journal of Organometallic Chemistry'}, {'Education & Training', 'PLoS Biology', 'Journal of Biological Chemistry', 'autophagy'}]","['Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', ""Jan and Dan Duncan Neurological Research Institute, Texas Children's Hospital, Houston, Texas, United States of America"", 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Structural and Computational Biology and Molecular Biophysics, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Integrative Biology and Pharmacology, University of Texas School of Medicine, Houston, Texas, United States of America', 'Department of Biochemistry and Molecular Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Human and Molecular Genetics, Baylor College of Medicine, Houston, Texas, United States of America', ""Jan and Dan Duncan Neurological Research Institute, Texas Children's Hospital, Houston, Texas, United States of America"", 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Program in Structural and Computational Biology and Molecular Biophysics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Neuroscience, Baylor College of Medicine, Houston, Texas, United States of America']",,,Biology,"[' Houston', ' United States of America""', ' Texas', "" United States of America'""]","(29.7863, -95.3889)",['houston'],33.46%,FALSE,TRUE,Baylor College,,,,93.3,,10.7,7.8,18.3,0,0,,5.8,,1020.8,
"Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhäll, Irene SöderhällGab",Astakine 2—the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.pgen.1003361,01/01/13,,,,1,"multiple cases of shifted blots, duplicated bands within blots",1,04/27/15,1,,,1,[],"[nan, nan, nan, nan, nan, nan]",[],"['Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Center for Genomics and Bioinformatics Research, Faculty of Science, Prince of Songkla University, Songkhla, Thailand', 'Proteomics Research Laboratory, Genome Institute, National Center for Genetic Engineering and Biotechnology (BIOTEC), NSTDA, Pathumthani, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Aquatic Molecular Genetics and Biotechnology Laboratory, National Center for Genetic Engineering and Biotechnology (BIOTEC), NSTDA, Pathumthani, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden']",,,,"[' Songkhla', ' Pathumthani', "" Sweden'"", "" Thailand'"", ' Uppsala', ' NSTDA']","(59.8498, 17.6389)","['uppsala', 'sweden', 'songkhla']",34.35%,FALSE,FALSE,Uppsala University,126,86.3,65.1,53.4,38.9,3.6,1.8,4.7,,,216,21.3,,989.5,
"Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays",Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",10.1371/journal.pgen.1003094,01/01/13,,1,,,duplicated microscopy panels,1,11/19/15,,1,,1,"[nan, nan, nan, 30.0]","[nan, 0.08, 0.42, 0.04, nan, nan, nan, 0.28, 0.26, nan, nan, nan, nan, nan, 0.15, 0.16, nan, nan, 0.14, 0.12, 0.15, nan]","[{'The Urban Lawyer', 'Report to the Australian Fisheries Management Authority, C2O Fisheries, Australia'}, {'Bioinformatics', 'Clinical Epigenetics', 'Clinical epigenetics'}, {'Global ecology and biogeography'}, {'science', 'Genome biology', 'The Lancet. Microbe'}, {'IEEE Journal of Quantum Electronics (Institute of Electrical and Electronics Engineers);(United States)', 'Case Reports', 'The American journal of surgical pathology'}, {'Neuroscience', 'Magnetic resonance in medicine'}, {'Acta Paediatrica', 'Biomedical Microdevices', 'The lancet oncology', 'Science'}, {'il caduceo', 'Neuroreport'}, {'Mammalian Genome', 'Journal of Speech, Language, and Hearing Research'}, {'Mechanisms of development', 'Gene expression patterns', 'Ergodic Theory and Dynamical Systems'}]","['National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'Institute of Molecular Pathology, Vienna, Austria', 'Department of Biology, University of Rome Tor Vergata, Roma, Italy', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Institut Cochin, Université Paris Descartes, CNRS (UMR 8104), Paris, France', 'Institut Cochin, Université Paris Descartes, CNRS (UMR 8104), Paris, France', 'National Institute of Neurological Disorders and Stroke, National Institutes of Health, Bethesda, Maryland, United States of America', 'Centre for Advanced Biomedical Imaging, Department of Medicine and Institute of Child Health, University College London, London, United Kingdom', 'Centre for Advanced Biomedical Imaging, Department of Medicine and Institute of Child Health, University College London, London, United Kingdom', 'Early Mammalian Development Laboratory, Research School of Biology, College of Medicine, Biology, and Environment, Australian National University, Canberra, Australia', 'Department of Biology, University of Rome Tor Vergata, Roma, Italy', 'Wellcome Trust Centre for Human Genetics, University of Oxford, Oxford, United Kingdom', 'National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America', 'Institute of Molecular Pathology, Vienna, Austria']",,,,"[' Université Paris Descartes', ' CNRS (UMR 8104)', ' Bethesda', ' Roma', "" United States of America'"", ' Canberra', "" Austria'"", "" United Kingdom'"", "" Italy'"", ' Oxford', ' Paris', ' London', ' Vienna', "" France'"", "" Australia'"", ' and Environment', ' Maryland']","(38.9866, -77.1188)","['bethesda', 'oxford', 'vienna', 'roma', 'paris', 'london', 'canberra']",36.21%,FALSE,FALSE,University of Oxford,2,99.5,100,96,100,5.5,3.3,7.2,0,0,,9.7,,1015.4,
"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee",Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1371/journal.pgen.1004121,01/01/14,,1,,,duplicated western blot panels,1,06/03/14,,1,,1,"[50.0, 50.0, nan, nan]","[nan, nan, 0.38, nan, 0.2, 0.21, nan, nan, nan, nan, 0.5, 0.28, 0.19, 0.12, nan, 0.1, 1.0]","[{'Business & society'}, {'Cytogenetic and Genome Research', 'Gene expression patterns', 'AMERICAN JOURNAL OF HUMAN GENETICS', 'FASEB JOURNAL'}, {'Wiadomości Parazytologiczne'}, {'Nanomaterials and Energy', 'Physical chemistry chemical physics', 'ACS Applied Materials & Interfaces', 'Physical Chemistry Chemical Physics', 'Synthetic metals'}, {'Technometrics', 'Some applications of topology and statistical physics to polymer physics and molecular biology', 'arXiv preprint cond-mat/0511302'}, {'Journal of molecular biology', 'Journal of Biological Chemistry', 'FEBS letters'}, {'DISCOVERIES 2016'}, {'Investigative Ophthalmology & Visual Science', 'Journal of Investigative Dermatology', 'AUSTRALASIAN JOURNAL OF DERMATOLOGY'}]","['Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Physiology and Biophysics, University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States of America', 'Department of Oral and Maxillofacial Surgery, School of Dentistry, University of Alabama at Birmingham, Birmingham, Alabama, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', ""Department of Pathology, Texas Children's Hospital, Baylor College of Medicine, Houston, Texas, United States of America"", 'Department of Orthopaedics and Sports Medicine, University of Washington, Seattle, Washington, United States of America', 'Department of Orthopaedics and Sports Medicine, University of Washington, Seattle, Washington, United States of America', 'Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America', 'Howard Hughes Medical Institute, Baylor College of Medicine, Houston, Texas, United States of America']",,,Diabetology,"[' Houston', ' Arkansas', ' Little Rock', ' Texas', "" United States of America'"", ' Birmingham', ' Seattle', ' ""Department of Pathology', ' Washington', ' United States of America""', ' Alabama']","(29.7863, -95.3889)","['houston', 'little rock', 'birmingham', 'seattle', 'washington']",34.11%,FALSE,FALSE,Baylor College,,,,93.3,,10.7,7.8,18.3,0,0,,5.8,,1020.8,
"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez",Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pgen.1004480,01/01/14,,1,,,duplicated microscopy panels,1,10/17/14,,1,,1,"[nan, nan, nan, nan]","[nan, nan, 0.04, 0.16, 0.09]","[{'Journal of Neuroscience', 'Current Biology', 'Biochimica et Biophysica Acta (BBA)-Gene Structure and Expression'}, {'Apuestas de investigación', 'Organização do trabalho e adoecimento: uma visão interdisciplinar', 'Nuevos contextos y retos al rol del profesional de la Salud Mental.............'}]","['Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain', 'Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain', 'Department of Physiological Sciences II, University of Barcelona-Bellvitge Health Science Campus, Barcelona, Spain', 'Department of Cell and Neurobiology, Zilkha Neurogenetic Institute, Keck School of Medicine, University of Southern California, Los Angeles, California, United States of America', 'Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain', 'Department of Pathology and Experimental Therapeutics, University of Barcelona-Bellvitge Health Science Campus, Barcelona, Spain']",,,,"["" Spain'"", "" United States of America'"", ' Los Angeles', ' California', ' Barcelona']","(41.3825, 2.1769)","['barcelona', 'los angeles', 'california']",33.41%,FALSE,FALSE,University de Barcelona,168,47.6,71.3,51,16.1,8.9,4.7,14.5,0,,315,15.5,,1017,
"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie",X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.ppat.1003576,01/01/13,,1,,,Duplicated microscopy panels,1,05/19/16,,1,,1,"[nan, nan, nan]","[nan, nan, nan, nan]",[],"['Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America', 'Department of Chemistry and Biochemistry, San Francisco State University, San Francisco, California, United States of America', 'Lung Biology Center, Diabetes Center, and California Institute for Quantitative Biosciences, University of California, San Francisco, San Francisco, California, United States of America', 'Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America']",,,,"[' Diabetes Center', ' San Francisco', ' California', "" United States of America'""]","(37.7562, -122.443)","['san francisco', 'california']",33.92%,FALSE,FALSE,San Francisco State University,,,,,,8.6,5.6,11.7,0,0,,12.6,,1024.1,
"Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger",Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.1371/journal.ppat.1003114,01/01/13,,,,1,"Duplicated or mirrored blot panels, or lanes within blots",1,03/09/16,,1,,1,"[nan, nan, 27.0, 50.0]","[nan, nan, nan, nan, 0.12]","[{'Immunity', 'Trends in pharmacological sciences'}]","['Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America', 'Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America', 'Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America', 'Mathematical Biosciences Institute, The Ohio State University, Columbus, Ohio, United States of America', 'Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America']",,PhD,Verology,"[' Ohio', ' Columbus', "" United States of America'""]","(39.9862, -82.985)","['columbus', 'ohio']",35.63%,FALSE,TRUE,Ohio State University,120,56,61.9,39.3,58.7,-2.7,-7.8,0.6,,,,10,,1018.8,
"Vicente Ramírez,  Ana López, Brigitte Mauch-Mani, Ma José Gil, Pablo Vera_",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1371/journal.ppat.1003445,01/01/13,,,1,,"Duplicated/stretched images of a leaf, duplicated gel panels",1,11/02/16,,1,,1,"[50.0, nan, nan, 50.0]","[0.15, 0.1]","[{'Science Education', 'Journal of Lipid Research', 'The Plant Cell'}]","['Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain', 'Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain', 'University of Neuchâtel, Faculty of Sciences, Institute of Botany, Neuchâtel, Switzerland', 'Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain', 'Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain']",,,Molecular Biology,"["" Spain'"", ' Ciudad Politécnica de la Innovación', "" 'Instituto de Biología Molecular y Celular de Plantas"", "" Switzerland'"", ' Valencia', ""'Instituto de Biología Molecular y Celular de Plantas"", ' Neuchâtel', ' Universidad Politécnica de Valencia-C.S.I.C']","(10.1667, -68.0)","['valencia', 'neuchâtel']",,,,Universidad Politécnica de Valencia,371,30,25.5,13.5,72.8,27.3,21.7,,,,,,,,
"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",10.1371/journal.ppat.1003845,01/01/14,,,1,,"Duplicated blot panels, shifted",1,01/14/16,,1,,1,"[nan, nan, nan, nan]","[nan, 0.19, nan, nan, 0.62, nan, 0.16, nan, nan]","[{'Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition', '2007 IEEE Conference on computer vision and pattern recognition'}, {'Handbook of Medical Image Computing and Computer Assisted Intervention', 'Target', 'arXiv preprint arXiv:2010.12573', 'Proceedings of the IEEE/CVF International Conference on Computer Vision'}, {'Genes & cancer', 'Oncotarget', 'Cancer Prevention Research'}]","['CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'College of Animal Science, Fujian Agriculture and Forestry University, Fuzhou, China', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'College of Animal Science, Fujian Agriculture and Forestry University, Fuzhou, China', 'Key Laboratory of Human Disease Comparative Medicine, Ministry of Health, Institute of Laboratory Animal Science, Chinese Academy of Medical Sciences & Comparative Medical Center, Peking Union Medical College, Beijing, China', 'Department of Biochemistry and Molecular Biology, Louisiana State University Health Sciences Center, Shreveport, Louisiana, United States of America', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China', 'College of Animal Science, Fujian Agriculture and Forestry University, Fuzhou, China']",,,,"[' Ministry of Health', ' Beijing', ' Shreveport', "" United States of America'"", ' Louisiana', "" China'"", ' Fuzhou']","(39.905, 116.3914)","['beijing', 'china', 'fuzhou', 'shreveport']",34.72%,FALSE,FALSE,Chinese Academy of Sciences,,,59.9,90.7,,3.8,-1.2,12.8,,,,12.8,,,
"Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. O’Toole, Judith Breuer ",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1371/journal.ppat.1003896,01/01/14,,,1,,Duplicated shifted blot panel,1,07/22/14,,1,,1,"[nan, nan, nan, 31.0]","[nan, nan, 0.8, nan, 0.26, nan, 0.16, nan, nan, 0.15]","[{'Logos: A Journal of Catholic Thought and Culture', 'The ‘Old Western Men’: A Religious Mode of Response to the Conditions of ‘Secular’Modernity, 1900-1970'}, {'International Journal of Primatology', 'PLoS pathogens', 'Nature Reviews Genetics'}, {'CORNEA-NEW YORK-', 'Medical Journal of Australia', 'EVOLUTION'}]","['Division of Infection and Immunity, University College London, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Centre for Cutaneous Research, QMUL, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Department of Ophthalmology and of Molecular Microbiology and Genetics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America', 'Division of Infection and Immunity, University College London, London, United Kingdom', 'Virus Genomics Team, Wellcome Trust Sanger Institute, Cambridge, United Kingdom', 'Section of Virology, Faculty of Medicine, Imperial College London, London, United Kingdom', 'Department of Ophthalmology and of Molecular Microbiology and Genetics, University of Pittsburgh, Pittsburgh, Pennsylvania, United States of America', 'Centre for Cutaneous Research, QMUL, London, United Kingdom', 'Division of Infection and Immunity, University College London, London, United Kingdom']",,,,"[' QMUL', "" United States of America'"", ' London', "" United Kingdom'"", ' Pittsburgh', ' Pennsylvania', ' Cambridge']","(51.5072, -0.1275)","['london', 'pittsburgh', 'cambridge']",37.20%,FALSE,TRUE,UCL,8,95.4,99.4,78,99,8.7,6,10.8,5.3,,194,25.2,,993,
"Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhäll, Kenneth Söderhällati",Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1371/journal.ppat.1004059,01/01/14,,1,,,Duplicated microscopy panels,1,05/20/16,,1,,1,"[nan, nan, nan, nan]","[nan, 0.42, nan, nan]",[{'Crustaceana'}],"['Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Aquatic Molecular Genetics and Biotechnology Laboratory, National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Technology Development Agency, Pathumthani, Bangkok, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Center of Excellence for Molecular Biology and Genomics of Shrimp, Department of Biochemistry, Faculty of Science, Chulalongkorn University, Bangkok, Thailand', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Department of Comparative Physiology, Uppsala University, Uppsala, Sweden', 'Science for Life Laboratory, Department of Comparative Physiology, Uppsala University, Uppsala, Sweden']",,,,"[' Pathumthani', ' Bangkok', "" Thailand'"", ' Uppsala', "" Sweden'""]","(59.8498, 17.6389)","['uppsala', 'sweden', 'bangkok']",34.15%,FALSE,TRUE,Uppsala University,126,86.3,65.1,53.4,38.9,,,,,,,,,,
