article,author,lab-size
Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,Dipanjan Chanda,50
Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,Seung-Rye Cho,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,David H Price,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,David H Price,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,David H Price,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,Seung-Rye Cho,N/A
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Sakthikumar Ambady,50
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Olga Kashpur,N/A
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Alexandra Grella,17
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Christopher Malcuit,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Jianrui Lv,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Xiaoming Lei,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Siyuan Li,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Yong Zhang,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Elodie Varin,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Mathieu Armanet,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Cécile Tourrel-Cuzin,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Domenico Bosco,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,S. Flis,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,Agnieszka Gnyszka,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,S. Flis,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,Agnieszka Gnyszka,N/A
FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,Ken-ichiro Sasaki,50
FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,Hidemi Kajimoto,N/A
FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,Hiroshi Koiwaya,N/A
FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,Masanori Ohtsuka,N/A
Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,Yuri Churin,50
Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,M Roderfeld,50
Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,J Stiefel,N/A
Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,Tilman Würger,N/A
Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,Chuan Li,N/A
Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,Cheng Wang,N/A
Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,Lingxue Meng,N/A
Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,Jiewen Xing,N/A
Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,Nicolas Tapon,N/A
Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,Melanie J. Welham,50
Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,Andrew D Chalmers,N/A
Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,Jun Wei,N/A
Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,Sabina Moser. Tralamazza,N/A
Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,Gabriela M. Reis,N/A
Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,Leon Rabinovitch,50
Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,Cynara B. Barbosa,22
Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,Mrinal K. Maiti,N/A
Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,Monami Chakraborty,14
Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,Maulik R Kamdar,N/A
Stac3 Inhibits Myoblast Differentiation into Myotubes,Xiaomei Ge,N/A
Stac3 Inhibits Myoblast Differentiation into Myotubes,Yafei Zhang,N/A
Stac3 Inhibits Myoblast Differentiation into Myotubes,Sungwon Park,50
Stac3 Inhibits Myoblast Differentiation into Myotubes,Xiaofei Cong,49
TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,Daniel DiRenzo,N/A
TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,Lian-Wang Guo,N/A
TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,Sarah Franco,30
TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,Bowen Wang,N/A
Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,Tang Jiang,N/A
Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,Juan Ouyang,N/A
Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,Qingsong Zhou,N/A
Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,Yanlan Liang,N/A
"Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells",Daping Fan,N/A
"Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells",Donald J. DiPette,N/A
"Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells",Ugra S Singh,N/A
Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,Qiang Huang,N/A
Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,Yan-Shui Lin,N/A
Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,Bo-Yuan Wei,N/A
Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,Yun-Shan Guo,N/A
Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,Yuanyuan Liu,N/A
Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,Chao Sun,50
Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,Lu Gan,N/A
Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,Luwei Zhang,35
Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,Debabrata Dash,N/A
Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,Ayusman Dash,15
Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,Nitesh Singh,N/A
S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,Aneesa Fasim,33
S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,Deepshikha Sharma,N/A
S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,Divya J Reddy,N/A
S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,Nabil A M Bin Omar,N/A
The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,Kai Li Tan,50
The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,Melina A. Agosto,50
The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,Bo Xiong,50
The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,Shinya Yamamoto,50
Astakine 2艃the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,Pikul Jiravanichpaisal,N/A
Astakine 2艃the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,Netnapa Saelee,N/A
Astakine 2艃the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,Amornrat Phongdara,50
Astakine 2艃the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,Sittiruk Roytrakul,N/A
Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,Joanna Cooke,N/A
Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,Ruth Pidsley,N/A
Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,Andrew Edwards,N/A
Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,Rebecca Slotkin,30
Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,Caressa Lietman,50
Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,Ingo Grafe,50
Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,Jennifer Lennington,N/A
Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,Roy Morello,N/A
Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,Santiago López-Begines,N/A
Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,Jose Luis Rosa,N/A
Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,Jeannie Chen,N/A
Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,Ana Méndez,N/A
X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,Feroz R Papa,N/A
X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,Peter M Haggie,N/A
X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,Marc O Anderson,N/A
Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,Heather M. Curry,N/A
Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,Shipan Dai,N/A
Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,Rachel Leander,27
Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,Larry S Schlesinger,50
An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,Vicente Ramírez,50
An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,Brigitte Mauch-Mani,N/A
An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,Ma José Gil,N/A
An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,Pablo Vera,50
Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,Song Wang,N/A
Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,Qinghuang Chen,N/A
Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,Yuhai Chen,N/A
Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,Xiaojuan Chi,N/A
RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,Inga R Dry,N/A
RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,Dan Frampton,N/A
RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,Manuraj Singh,N/A
RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,Ravinder K. Kanda,31
Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,Anchalee Tassanakajon,N/A
Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,Chadanat Noonin,N/A
Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,Pikul Jiravanichpaisal,N/A
Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,Miti Jearaphunt,N/A
Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,Sajith Nair,N/A
Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,Aleksandar D Kostic,N/A
Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,Pradeep Bist,N/A
Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response,Jeremy D Weaver,33
Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,Verity G Kew,N/A
Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,Jinxiang Yuan,13
Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency,Matthew B Reeves,50
Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,Choo Hock Tan,N/A
Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,Michelle Khai Khun Yap,30
Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,Si Mui Sim,50
Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits,Shin Yee Fung,N/A
Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,Jianming Chen,N/A
Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System,Julian I. Rood,N/A
The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,Zhikang Yin,N/A
The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,Laura Selway,N/A
The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,David Stead,50
The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,Janet Walker,50
Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum,Nirbhay Kumar,50
Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,Christopher W. Cutler,50
Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,Paul I Eke,N/A
Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,Thomas E Van Dyke,N/A
Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide,R R Arnold,50
Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,Mengfei Ho,N/A
Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,Virgilio G. Ponferrada,50
Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus,Jefferson E. Vallance,50
Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,S L Hsuan,50
Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,Mathur S Kannan,50
Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,Bruce Walcheck,N/A
Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,J F Wang,N/A
"Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects",Mathur S Kannan,50
"Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects",S K Maheswaran,N/A
"Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects",S K Maheswaran,N/A
"Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects",S K Maheswaran,N/A
Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,Atsuo Sakurai,50
Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,Ichiro Nakagawa,50
Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,Taku Fujiwara,N/A
Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells,Shigetada Kawabata,N/A
Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells,Stephanie Dahan,50
Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,Michael C. Hudson,N/A
Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,Ian Marriott,N/A
Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast,Betsy R Butler,N/A
