author,Publication Rate
Feng Zhou,N/A
S Kale,N/A
CM Das,N/A
CC Jiang,N/A
Z Zhang,N/A
T-I Hsu,N/A
Emmanuel Dornier,N/A
HIROFUMI YAMAMOTO,N/A
BO LI,N/A
EUN YOUNG GIL,N/A
YUKI FUJISE,N/A
CHIACHEN CHEN,N/A
WEI YANG,N/A
MICHIYO YAMAMURA,N/A
TONI IBRAHIM,N/A
LI MA,N/A
Steffen Zender,N/A
Luke Martin McCaffrey,N/A
Lu Wang,N/A
Corentin Herbert,N/A
Janice D. Thomas,N/A
King Ching Ho,N/A
Nathalie Delgehyr,N/A
Rajesh K. Grover,N/A
Kevin Y. Lee,N/A
Shuyu Ren,N/A
Zhongyuan Wang,N/A
 Sarah Koutnik,N/A
 Hermann Ammer,N/A
 Eileen O�Toole,0.62
 Linya Li,N/A
 Thomas H. Giddings Jr.,N/A
 Benjamin Kozak,N/A
 Alison J. Albee,N/A
 Susan K. Dutcher,0.12
 Fangfang Zhang,0.33
 Guangliang Liu,N/A
 Ruixue Wang,0.42
 Steven D. London,0.14
 Lucille London,0.14
 Pramod P. Mehta,0.45
 Sangita M. Baxi,0.26
 Min-Jean Yin ,N/A
  Peng Xu,0.15
 Cory Collins,N/A
 Han Liu,0.28
 Jingdong Zhang,0.19
 James P. Keblesh,N/A
 Huangui Xiong,0.16
 Shijie Sheng,N/A
 Jianzhi Zhang,0.19
 Sijana Dzinic,N/A
 Shaolei Li,N/A
 Fang Fang,0.12
 Nan Wu,0.15
 Qingfeng Zheng,0.25
 Yue Yang,0.08
 Matthew Thomas Doyle,0.56
 Renato Morona,0.12
 Grazia Serino,0.42
 Vincenzo Costantino,N/A
 Claudia Curci,0.31
 Sharon N. Cox,0.29
 Giuseppe DePalma,0.17
 Francesco P. Schena,0.09
 Qing Zhang,0.10
 Sulian Chen,N/A
 Binbin Fang,N/A
 Qingling Yang,0.19
 Changjie Chen,1.33
 Lucio Miele,N/A
 Fazlul H. Sarkar,N/A
 Jun Xia,0.29
 Zhiwei Wang,0.25
 Michal Mizrahi,0.38
 Kati Frid,N/A
 Orli Binyamin,0.19
 Ruth Gabizon ,N/A
 Lei Shan,0.24
 Yaping Hua,N/A
 Dan Wang,0.08
 Huawu Zeng,0.25
 Runhui Liu,N/A
 Weidong Zhang,0.19
 Zhenlin Hu,N/A
 Xiaodong Pan,0.33
 Yuyu Yao,N/A
 Fengdi Yan,N/A
 Long Chen,0.02
 Rong Huang,0.13
 Genshan Ma,N/A
 Alexander Fletcher,0.28
 Fiona Lyall,N/A
 A. Jesse Gore,N/A
 Julie L. Wilson,N/A
 Murray Korc,0.11
 Dipanjan Chanda,0.26
 Don-Kyu Kim,0.25
 Seung-Rye Cho,N/A
 Seung-Hoi Koo,0.19
 Chul- Ho Lee,0.31
 Sung Hoon Back,N/A
 Hueng-Sik Choi,N/A
 Payel Ghatak,0.23
 David H. Price,0.10
 Ronald Conaway,N/A
 Joan Conaway,0.17
 Cheng-Ming Chiang,0.24
 James E. Bradner,N/A
 Ali Shilatifard,0.16
 Ananda L. Roy,0.13
 Sakthikumar Ambady,0.18
 Olga Kashpur,0.38
 Alexandra Grella,N/A
 Christopher Malcuit,N/A
 Lucy Vilner,N/A
 Primoz Rozman,0.19
 Tanja Dominko,0.17
 Jianrui Lv,N/A
 Xiaoming Lei,0.62
 Siyuan Li,0.42
 Yong Zhang,0.14
 Lihua Meng,N/A
 Rongliang Xue,N/A
 Zongfang Li,N/A
  Elodie Varin,0.42
 Mathieu Armanet,N/A
 C�cile Tourrel-Cuzin,N/A
 Domenico Bosco,0.14
  St�phane Dalle,N/A
 Anne Wojtusciszyn,0.28
 Agnieszka Gnyszka,N/A
 Krzysztof Flis,N/A
 Ken-ichiro Sasaki,N/A
 Hidemi Kajimoto,N/A
 Hiroshi Koiwaya,N/A
 Masanori Ohtsuka,N/A
 Takafumi Ueno,0.17
 Hidetoshi Chibana,N/A
 Naoki Itaya,N/A
 Masahiro Sasaki,0.20
 Shinji Yokoyama,N/A
 Yoshihiro Fukumoto,N/A
 Tsutomu Imaizumi,N/A
 Martin Roderfeld,N/A
 Johannes Stiefel,N/A
 Tilman Wu r_ ger,N/A
 Dirk Schro __ er,N/A
 Tomomitsu Matono,N/A
 Hans-Joachim Mollenkopf,0.17
 Roberta Montalbano,N/A
 Malvika Pompaiah,N/A
 Kurt Reifenberg5,N/A
 Daniel Zahner,N/A
 Matthias Ocker,N/A
 Wolfram Gerlich,N/A
 Dieter Glebe,N/A
 Elke Roeb,N/A
 Cheng Wang,N/A
 Lingxue Meng,N/A
 Jiewen Xing,N/A
 Tianya Wang,N/A
 Hua Yang,0.15
 Yingyin Yao,0.56
 Huiru Peng,N/A
 Zhaorong Hu,0.45
 Qixin Sun,N/A
 Zhongfu Ni,N/A
 Jun Wei,0.19
 Nicolas Tapon,0.19
 Melanie J. Welham,N/A
 Andrew D. Chalmers,N/A
 Sabina Moser Tralamazza,0.38
 Gabriela M. Reis,N/A
 Leon Rabinovitch,N/A
 Cynara B. Barbosa,N/A
 Benedito Corre_a,0.00
 Monami Chakraborty,N/A
 Maulik R. Kamdar,0.56
 Mrinal K. Maiti,0.18
 Yafei Zhang,0.14
 Sungwon Park,0.50
 Xiaofei Cong,0.42
 David E. Gerrard,N/A
 Honglin Jiang,N/A
 Daniel DiRenzo,N/A
 Lian-Wang Guo,0.18
 Sarah R. Franco,N/A
 Bowen Wang,0.62
 Stephen Seedial,0.42
 K. Craig Kent,N/A
 Tang Jiang,0.31
 Juan Ouyang,0.50
 Qingsong Zhou,0.26
 Yanlan Liang,N/A
 Yingpeng Cui,N/A
 Peisong Chen,2.50
 Bin Huang,0.16
 Daping Fan,0.24
 Donald J. DiPette,N/A
 Ugra S. Singh,N/A
 Qiang Huang,0.23
 Yan-Shui Lin,N/A
 Bo-Yuan Wei,N/A
 Yun-Shan Guo,N/A
 Zhen Sun,0.12
 Long Wang,0.36
 Jing Fan,0.10
 Hong-Yang Zhang,N/A
 Yue-Hu Han,N/A
 Xiao-Jie Li,N/A
 Jun Shi,0.19
 Jian Liu,0.08
 Liu Yang,0.13
 Zhuo-Jing Luo,N/A
 Yuanyuan Liu,0.28
 Chao Sun,0.24
 Lu Gan,0.08
 Luwei Zhang,1.25
 Aihong Mao,N/A
 Yuting Du,0.56
 Rong Zhou,0.17
 Hong Zhang,0.19
 Ayusman Dash,1.00
 Nitesh Singh,0.24
 Debabrata Dash,0.11
 Aneesa Fasim,0.31
 Deepshikha Sharma,0.33
 Divya J. Reddy,N/A
 Nabil A. M. Bin Omar,N/A
 Surya S. Singh,0.07
 Kai Li Tan,0.50
 Melina A. Agosto,N/A
 Bo Xiong,0.31
 Shinya Yamamoto,0.25
 Hector Sandoval,0.29
 Manish Jaiswal,0.31
 Vafa Bayat,N/A
 Ke Zhang,0.18
 Wu-Lin Charng,0.42
 Gabriela David,0.13
 Lita Duraine,N/A
 Kartik Venkatachalam,0.24
 Theodore G. Wensel,N/A
 Hugo J. Bellen,N/A
 Netnapa Saelee,N/A
 Amornrat Phongdara,N/A
 Sittiruk Roytrakul,N/A
 Pikul Jiravanichpaisal,N/A
 Kenneth So_derh�ll,N/A
 Irene S�derh�llGab,N/A
 Joanna Cooke,0.08
 Ruth Pidsley,0.42
 Andrew Edwards,0.04
 Rebecca Slotkin,N/A
 Karen E. Leeds,N/A
 Raymond Mullen,N/A
 Laura L. Baxter,0.28
 Thomas G. Campbell,0.26
 Marion C. Salzer,N/A
 Laura Biondini,N/A
 Gretchen Gibney,N/A
 Franc _oise Phan Dinh Tuy,N/A
 Jamel Chelly,N/A
 H. Douglas Morris,0.15
 Johannes Riegler,0.16
 Mark F. Lythgoe,N/A
 Ruth M. Arkell,N/A
 Fabrizio Loreni,0.14
 Jonathan Flint,0.12
 William J. Pavan,0.15
 David A. Keays,N/A
 Caressa Lietman,N/A
 Ingo Grafe,0.38
 Jennifer Lennington,N/A
 Roy Morello,0.20
 Dobrawa Napierala,0.21
 Ming-Ming Jiang,N/A
 Elda M. Munivez,N/A
 Brian Dawson,N/A
 Terry K. Bertin,N/A
 Yuqing Chen,0.50
 Rhonald Lua,0.28
 Olivier Lichtarge,0.19
 John Hicks,0.12
 Mary Ann Weis,N/A
 David Eyre,0.10
 Brendan H. L. Lee,1.00
 Santiago Lopez-Begines,N/A
 Jose Luis Rosa,0.04
 Jeannie Chen,0.16
 Ana Mendez,0.09
 Marc O. Anderson,N/A
 Feroz R. Papa,N/A
 Peter M. Haggie,N/A
 Murugesan V. S. Rajaram,N/A
 Heather M. Curry,N/A
 Rachel Leander,N/A
 Larry S. Schlesinger,0.12
  Ana L�pez,N/A
 Brigitte Mauch-Mani,0.15
 Ma Jos� Gil,N/A
 Pablo Vera_,0.10
 Song Wang,0.19
 Qinghuang Chen,N/A
 Yuhai Chen,N/A
 Xiaojuan Chi,0.62
 Lianfeng Zhang,N/A
 Shile Huang,0.16
 George F. Gao,N/A
 Ji-Long Chen,N/A
 Inga R. Dry,N/A
 Dan Frampton,0.80
 Manuraj Singh,N/A
 Ravinder K. Kanda,0.26
 Michael B. Yee,N/A
 Paul Kellam,0.16
 Michael Hollinshead,N/A
 Paul R. Kinchington,N/A
 Edel A. O�Toole,N/A
 Judith Breuer ,0.15
 Chadanat Noonin,0.42
 Pikul Jiravanichpaisal,N/A
 Seiko Nakamura,N/A
 Anchalee Tassanakajon,N/A
 Irene So_derh�ll,N/A
 Kenneth S�derh�llati,N/A
 Sajith Nair,N/A
 Aleksandar D. Kostic,0.45
 Pradeep Bist,0.22
 Jeremy D. Weaver,N/A
 Andrew M. Riley,N/A
 Richa Tyagi,0.23
 Pradeep D. Uchil,N/A
 John D. York,0.02
 Solomon H. Snyder,0.06
 Adolfo Garc�__a-Sastre,N/A
 Barry V. L. Potter,0.12
 Rongtuan Lin,0.16
 Stephen B. Shears,N/A
 Ramnik J. Xavier,N/A
 Manoj N. Krishnan,N/A
 Jinxiang Yuan,0.24
 Jeffery Meier,0.02
 Matthew B. Reeves,0.22
 Nget Hong Tan,0.11
 Si Mui Sim,0.10
 Shin Yee Fung,0.25
 Choo Hock Tan,0.45
 Julian I. Rood,N/A
 Bruce A. McClane,N/A
 Yin Zhikang,N/A
 Laura Selway,N/A
 David Stead,0.18
 Janet Walker,2.00
 Michelle D. Leach,N/A
 Iryna Bohovych,0.38
 Iuliana V. Ene,N/A
 Stavroula Kastora,0.50
 Susan Budge,0.12
 Carol A. Munro,0.11
 Frank C. Odds,N/A
 Neil A. R. Gow,N/A
 Alistair J. P. Brown,0.12
 Nirbhay Kumar,0.10
 Paul I. Eke,0.13
 Caroline A. Genco,N/A
 Thomas E. Van Dyke,N/A
 RolR. Arnold,N/A
 Virgilio G. Ponferrada,N/A
 Jefferson E. Vallence,N/A
 Mengfei Ho,N/A
 S.L. Hsuan,0.56
 M.S. Kannan,0.21
 B. Walcheck,0.16
 J.F. Wang,0.42
 M.E. Kehrli,N/A
 E.T. Lally,N/A
 G.C. Sieck,N/A
 S.K. Maheswaran,N/A
 R.E. Briggs,0.30
 P. Thumbikat,0.24
 Atsuo Sakurai,N/A
 Ichiro Nakagawa,N/A
 Taku Fujiwara,0.08
 Shigetada Kawabata,N/A
 Atsuo Amano,0.14
 Shigeyuki Hamada,0.08
 Guillaume Dalmasso,N/A
 Veronique Imbert,N/A
 Jean-Francois Peyron,N/A
 Patrick Rampal,0.10
 Dorota Czerucka,N/A
 Ian Marriott,0.17
 Betsy R. Butler,N/A
 Elaine K. Thomas,N/A
 Michael C. Hudson,N/A
 Kenneth L. Bost,0.10
 Gefei Qing,N/A
 David M. Byers,N/A
 Andrew W. Stadnyk,N/A
 Walla Al-Hertani,0.23
 Robert Bortolussi,0.10
 Arthur A. Decarlo,N/A
 Cheryl C. Chapple,0.17
 Neil Hunter,0.15
 Hong Wei Chu,0.29
 Scott K. Young,0.22
 Mason W. Freeman,N/A
 G. Scott Worthen,N/A
 Irina V. Pinchuk,N/A
 Kyle Minch,N/A
 Giovanni Suarez,N/A
 Johanna C. Sierra,N/A
 Yoshio Yamaoka,0.13
 Victor E. Reyes,0.13
 Monica Williams,0.29
 Mikael Petrosyan,N/A
 Yigit Guner,0.22
 Rahul Mittal,0.56
 Dennis Mock,0.50
 Jeffrey S. Upperman,0.15
 Henri R. Ford,N/A
 Nemani V. Prasadarao,N/A
 Eric S. Krukonis,N/A
 Jay Gunawardana,0.14
 Xiuping Liu,N/A
 Lee M. Wetzler,N/A
 Hae-Jeong Ahn,N/A
 Hyun-Joon Ha,0.14
 Jungchan Park,0.50
 Jeong-Hoon Chun,N/A
 Bong-Su Kim,N/A
 Hee-Bok Oh,N/A
 Gi-eun Rhie,N/A
 Tomomi Hashizume,N/A
 Tomoko Kurita-Ochiai,N/A
 Satoshi Yuzawa,0.31
 Yoshimitsu Abiko,N/A
 Masafumi Yamamoto,N/A
 Xavier Charpentier,0.24
 Anne Vianney,N/A
 Jean-Claude Lazzaroni,N/A
 Christophe Gilbert,0.08
 Daniele Atlan,0.20
 Patricia Doublet,0.17
 Jia Xainli,N/A
 Jesse Schloegel,N/A
 Lenore Carias,N/A
 Francis Ntumngia,0.28
 Menachem Shoham,0.10
 Joanne L. Casey,N/A
 Michael Foley,0.13
 John H. Adams,0.05
 Christopher L. King,N/A
 Sanjay Batra,0.04
 Gayathriy Balamayooran,N/A
 Shanshan Cai,N/A
 Koichi Kobayashi,0.02
 Richard A. Flavell,0.09
 Samithamby Jeyaseelan,0.21
 Greg Golden,0.16
 Soo-Young Wanda,N/A
 Roy Curtiss III,N/A
 Junzo Norimine,N/A
 Guy H. Palmer,N/A
 Eric L. Sutten,N/A
 Timothy V. Baszler,N/A
 Wendy C. Brown,N/A
 Xin Xu,0.20
 Leonid Metelitsa,N/A
 Michael Hensel,0.16
 Wen-Jiang Zheng,N/A
 Yong-Hua Hu,0.62
 Bo-Guang Sun,N/A
 Li Sun,0.28
 Juan C. Jime_nez,0.12
 Lorenzo E. Leiva,N/A
 Sergio A. �lvarez,0.16
 Bernardo I. Pinto,N/A
 Francisca Contreras,0.26
 David Pezoa,N/A
 Carlos A. Santiviago,0.20
 In�s Contrerasnd,N/A
 Xin Deng,0.31
 Chuan He,0.21
 Bisong Yue,N/A
 Min Wu,0.11
 Dennise deJesus,0.17
 Ralph R. Isberg ,N/A
 Brent S. Sorenson,N/A
 Karen F. Ross,N/A
 Mark C. Herzberg,N/A
 Tingting Liu,0.33
 Aimei Zhang,N/A
 Xingxing Huo,N/A
 Qingli Luo,N/A
 Zhaowu Chen,N/A
 Li Yu,0.09
 Qing Li,0.16
 Lili Liu,0.19
 Zhao-rong Lun,N/A
 Jilong Shen,N/A
 Yinli Bao,N/A
 Min Sun,0.17
 Wenyang Dong,0.62
 Zihao Pan,1.00
 Wei Zhang,0.15
 Chengping Lu,N/A
 Huochun Yao,N/A
 N. Ohashi,0.12
 Y. Rikihisa,0.11
 H. W. Horowitz,N/A
 G. P. Wormser,N/A
 K. Hechemy,N/A
 Amanda Savoie,0.45
 Helen S. Garmory,N/A
 Dawn Bueschel,N/A
 Michel R. Popoff,N/A
 J. Glenn Songer,N/A
 Richard W. Titball,N/A
 Mahfuzur R. Sarker,N/A
 Toru Tobe,N/A
 Hiroshi Asakura,0.22
 Masahisa Watarai,N/A
 Testuya Ikeda,0.26
 Koichi Takeshi,N/A
 Chihiro Sasakawa,0.06
 Patrick C. Y. Woo,N/A
 Ken T. K. Chong,N/A
 Wah-shing Leung,N/A
 Veronica L. Chan,N/A
 Kwok-yung Yuen,N/A
 Susanna K. P. Lau,N/A
 Beatrice H. L. Wong,N/A
 Kwok-Hung Chan,0.00
 Wai-Ting Hui,N/A
 Grace S. W. Kwan,N/A
 J. S. Malik Peiris,N/A
 Robert B. Couch,N/A
 Kwok-Yung Yuen,N/A
 Hiroshi Yamasaki,0.07
 Yasuhito Sako,N/A
 Minoru Nakao,N/A
 Ning Xiao,0.42
 Kazuhiro Nakaya,N/A
 Naoki Sato,0.25
 Dominique A. Vuitton,N/A
 Renaud Piarroux,0.17
 Marshall W. Lightowlers,N/A
 Philip S. Craig,N/A
 Akira Ito,0.16
 He_l�ne Marchandin,N/A
 Nicole Bouziges,N/A
 Albert SottoS,N/A
 Deepa Raju,N/A
 Virginia Plasencia,N/A
 Laura Garci_a,0.18
 Olga Hidalgo,0.11
 Jos� Ignacio Ayestar�n,N/A
 Sebasti�n Alberti,N/A
 Nuria Borrell,N/A
 Jos L. Prez,0.21
 Antonio OliverW. Li,N/A
 Douglas G. Rogers,N/A
 Jeffrey T. Gray,N/A
 David R. Smith,0.03
 Susanne Hinkley,N/A
 Norhaida Che Azmi,N/A
 Rahmah Noordin,0.16
 Supranee Kongkham,N/A
 Sookkasem Khositseth,N/A
 Danial Kheradmand,N/A
 Peyman Keyhanvar,0.36
 Alireza Shoae-Hassani,0.36
 Amir Darbandi-Azar,0.56
 Asli Semiz,0.28
 Serdar Karakurt,0.36
 Sevki Arslan,N/A
 Orhan Adali,0.13
 Alaattin Sen,0.16
 Q-Schick Auh,0.28
 Deok-Won Lee,N/A
 Jun-Yeol Kim,N/A
 Ha-Jin Jung,N/A
 Seung-Ho Lee,0.25
 Eun-Cheol Kim,N/A
 Shu-Chuan Wu,N/A
 Aij-Lie Kwan,N/A
 Elisa Elvira Figueroa-Angulo,N/A
 Leticia A_vila-Gonz�lez,N/A
 Rossana Arroyoi,0.14
 Yafeng Wang,0.71
 Xiaojuan Guo,N/A
 Yubing Zhou,0.31
 Jingmin Zhang,0.25
 Ning Wang,0.15
 Jinhua Jiang,0.13
 Fang Ma,0.36
 Qingduan Wang,N/A
 Gabriel Cao,N/A
 Andrea Carranza,0.23
 Elsa Zotta,0.22
 Susana Gorzalczany,N/A
 Carolina Susana Cerrudo,N/A
 Natalia Luci_a Rukavina Mikusic,N/A
 Alicia Correa,0.11
 Ver�nica Trida,N/A
 Jorge Eduardo Toblli,N/A
 Mar�a In�s Ros�n,N/A
 Belisario Enrique Fern�ndezlypep,N/A
 Yih-Shou Hsieh,N/A
 Jia-Yuh Chen,N/A
 Kuo-Shuen Chen,N/A
 Jia-Jing Chen,N/A
 Wu-Hsien Kuo,N/A
 Shu-Jiuan Lin,N/A
 Pei-Ni Chen,N/A
 Ming-Ju Hsieh,N/A
 Ming-Hsien Chien,N/A
 Pen-Yuan Lin,N/A
 Hui-Ling Chiou,N/A
 Shun-Fa Yang,0.24
 Fon-Chang Liu,N/A
 Pei-Yu Chou,0.23
 Yi-Chung Chien,N/A
 Wun-Shaing Wayne Chang,N/A
 Guang-Jhong Huang,N/A
 Chieh-Hsi Wu,0.45
 Ming-Jyh Sheu,N/A
 Hui-Wen Yang,0.36
 Yin-Hung Chu,N/A
 Yu-Chao Chang,0.17
 Ming-Yung Chou,N/A
 Kun-Tu Yeh,N/A
 Yueh-Min Lin,N/A
 Chiao-Wen Lin,N/A
 Yi-Chin Yang,N/A
 Ming-Tsang Chiao,N/A
 Shiuh-Chuan Chan,N/A
 Bai-Shuan Liu,N/A
 Ji-kun Du,N/A
 Li-yi Zou,N/A
 Tie Wu,0.19
 Yong-woo Lee,0.28
 Yong-ho Kim,0.36
 Wan Iryani Wan Ismail,0.25
 Siti Safura Jaapar,0.56
 Zainah Adam,0.25
 Aishah Adam,0.15
 Baofang Jin,N/A
 Xindong Zhang,1.00
 Yugui Cui,N/A
 Dalin Sun,N/A
 Chao Gao,0.33
 Hong Xu,0.19
 Hua Sun,0.31
 Su-hui Chen,N/A
 Fu-ming Wang,0.29
 May Shawi,N/A
 Jeremy Grenier,N/A
 Raquel Aloyz,0.17
 Lawrence Panasci,0.11
 Imelda Mercado-Uribe,N/A
 Asha S. Multani,N/A
 Subrata Sen,N/A
 Ie-Ming Shih,0.10
 Kwong-Kwok Wong,0.14
 David M. Gershenson,N/A
 Jinsong Liu,0.19
 Swadesh K. Das,0.02
 Belal Azab,0.42
 Mitchell E. Menezes,0.31
 Paul Dent,0.14
 Xiang-Yang Wang,N/A
 DevanSarkar,N/A
 Paul B. Fisher,N/A
 Rebecca S. Henkhaus,N/A
 Fotios Loupakis,0.11
 Chiara Cremolini,0.36
 Eugene W. Gerner,N/A
 Natalia A. Ignatenko,N/A
 Maria Lorenzi,0.38
 Emma Altobelli,0.18
 Daniela Marzioni,0.18
 Emanuela Mensa__,0.50
 Alexia Quaranta,N/A
 Francesca Paolinelli,N/A
 Manrico Morroni,N/A
 Roberta Mazzucchelli,0.20
 Antonio De Luca,0.08
 Antonio Domenico Procopio,0.12
 Alfonso Baldi,0.16
 Giovanni Muzzonigro,N/A
 Rodolfo Montironi,0.12
 Mario Castellucci,0.09
 Xianghua Ye,N/A
 Jian Guan,0.62
 Bin Chen,0.29
 Qisheng Li,0.29
 Xiaokang Zheng,0.71
 Laiyu Liu,N/A
 Shuang Wang,0.18
 Yanqing Ding,N/A
 Yi Ding,0.21
 Longhua Chen,N/A
 Rita Sabatini,N/A
 Filomena De Falco,N/A
 Beatrice Del Papa,N/A
 Franca Falzetti,N/A
 Mauro Di Ianni,0.19
 Laura Cavalli,0.17
 Katia Fettucciari,0.18
 Andrea Bartoli,0.45
 Isabella Screpanti,0.12
 Pierfrancesco Marconi,N/A
 Indira Jutooru,N/A
 Sandeep Sreevalsan,0.38
 Satya Pathi,N/A
 Kyounghyun Kim,0.21
 Candy Chen,N/A
 Lisa Crose,0.56
 Corinne Linardic,N/A
 Stephen Safe,0.08
 Xiaojuan Li,0.17
 Yuying Zhang,0.13
 Chunwei Ye,N/A
 Yu Wang,0.16
 Songwang Cai,N/A
 Huaiqiu Huang,N/A
 Yi Cai,0.33
 Shuyuan Yeh,N/A
 Zhenhua Huang,0.16
 Ruihan Chen,N/A
 Yiran Tao,N/A
 Xingqiao Wen,N/A
 Holly Deng,N/A
 Eileen A. Friedman,N/A
 J. Carson,0.11
 N. Gudkovs,N/A
 B. Nowak,0.19
 Jean Lucey,N/A
 Karen O�Donovan,N/A
 Yvonne McCarthy,0.26
 Liang Yang,0.16
 Tim Tolker-Nielsen,0.18
 J. Maxwell Dow,N/A
 Maher El Mecherki,N/A
 Stephan Altenburger,N/A
 Peter L. Graumann,N/A
 Isabelle J. Schalk,N/A
 Jung-Chi Chen,N/A
 Jwu-Ching Shu,N/A
 Chien-Yen Chen,N/A
 Ssu-Ching Chen,N/A
 Shu-Hwa Chen,N/A
 Chun-Yen Lin,0.18
 Chi-Yu Lu,N/A
 Chien-Cheng Chen,0.42
 Noriyuki Sato,0.16
