author,title,publish_place
 Manish Jaiswal,"The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration (vol 12, e1001847, 2014)",Development
 Manish Jaiswal,Buffered EGFR signaling regulated by spitz to argos expression ratio is critical for patterning the Drosophila eye,bioRxiv
 Manish Jaiswal,Understanding Neurodegeneration and Neuroprotection Through Genetic Screens in Drosophila,N/A
 Manish Jaiswal,SI: Genetic pathways to Neurodegeneration Pathways to Neurodegeneration: Lessons Learnt From Unbiased Genetic Screens in Drosophila,N/A
 Manish Jaiswal,"Loss of Frataxin induces iron toxicity, sphingolipid synthesis, and Pdk1/Mef2 activation, leading to neurodegeneration 2",Elife
 Ke Zhang,Advances in the molecular mechanisms of the microbe-nematode interaction,N/A
 Ke Zhang,Future Study,Developmental psychology
 Ke Zhang,W ScienceDirect,Medical Laser Application
 Ke Zhang,"A new species of Acrogenospora from submerged bamboo in Yunnan, China (vol 92, pg 384, 2005)",Mycotaxon
 Ke Zhang,食线虫真菌细胞壁蛋白研究进展,家畜生态学报
 Wu-Lin Charng,"TNPO2 variants associate with human developmental delays, neurologic deficits, and dysmorphic features and alter TNPO2 activity in Drosophila",The American Journal of Human Genetics
 Wu-Lin Charng,"The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration (vol 12, e1001847, 2014)",Development
 Wu-Lin Charng,"MUTATIONS IN EBF3 DISTURB TRANSCRIPTIONAL PROFILES AND UNDERLIE A NOVEL SYNDROME OF INTELLECTUAL DISABILITY, ATAXIA AND FACIAL DYSMORPHISM",The American Journal of Human Genetics
 Wu-Lin Charng,Baylor-Johns Hopkins Center for Mendelian genomics: a four year review,N/A
 Wu-Lin Charng,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Gabriela David,Polarographic and Voltammetric Analysis of Benzodiazepine Drugs,Journal of Electroanalytical Chemistry and Interfacial Electrochemistry
 Gabriela David,Metode instrumentale de analiză: Culegere de probleme. Partea 3,N/A
 Gabriela David,Studium der Reduktion und der quantitativen Bestimmungsmoglichkeiten des In3+ in wassrigen Chlorid-Losungen durch klassische und Wechselstrompolarographie,N/A
 Gabriela David,FULVENYL-SUBSTITUTED CP LIGANDS .4. STABLE HETEROBINUCLEAR DONOR-ACCEPTOR SYSTEM WITH 6-PENTAFULVENYLCYCLOPENTADIENYL BRIDGE,Journal of Organometallic Chemistry
 Gabriela David,SELECTIVITY AND RESOLUTION IN MODERN POLAROGRAPHIC METHODS. 1. ESTIMATION OF QUANTITATIVE RESOLUTION,N/A
 Kartik Venkatachalam,Guidelines for the use and interpretation of assays for monitoring autophagy,autophagy
 Kartik Venkatachalam,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Kartik Venkatachalam,MECHANISMS OF SIGNAL TRANSDUCTION-Regulation of Canonical Transient Receptor Potential (TRPC) Channel Function by Diacylglycerol and Protein Kinase C.,Journal of Biological Chemistry
 Kartik Venkatachalam,"Kartik Venkatachalam, Ph. D.",Education & Training
 Kartik Venkatachalam,"A TRPV Channel in Drosophila Motor Neurons Regulates Presynaptic Resting Ca 2 Levels, Synapse Growth, and Synaptic Transmission",N/A
 Joanna Cooke,DHS-FEMA,The Urban Lawyer
 Joanna Cooke,Status of marine and coastal natural assets,N/A
 Joanna Cooke,ADDRESS: SOUTH AUSTRALIAN RESEARCH AND DEVELOPMENT INSTITUTE AQUATIC SCIENCES PO BOX 120 HENLEY BEACH SA 5022 Objectives,N/A
 Joanna Cooke,Current loads of priority pollutants discharged from Great Barrier Reef Catchments to the Great Barrier Reef,N/A
 Joanna Cooke,Assessing the vulnerability of Torres Strait fisheries and supporting habitats to climate change 2013,"Report to the Australian Fisheries Management Authority, C2O Fisheries, Australia"
 Ruth Pidsley,The wateRmelon Package,N/A
 Ruth Pidsley,Identification of DNA methylation biomarkers with potential to predict response to neoadjuvant chemotherapy in triple-negative breast cancer,Clinical epigenetics
 Ruth Pidsley,MethPanel: a parallel pipeline and interactive analysis tool for multiplex bisulphite PCR sequencing to assess DNA methylation biomarker panels for disease detection,Bioinformatics
 Ruth Pidsley,Cancer Methylation Biomarkers in Circulating Cell-Free DNA,Clinical Epigenetics
 Ruth Pidsley,The DMRcate package user’s guide,N/A
 Andrew Edwards,P7 Bone mineral density and sex hormone levels in menopausal women,N/A
 Andrew Edwards,‘Ecophysiology of Australasian Plants and Ecosystems’ Special Issue,N/A
 Andrew Edwards,Index to Volume 12 (2003),Global ecology and biogeography
 Andrew Edwards,"Imma Oliveras, Josep Piñol and Domingos X. Viegas",N/A
 Andrew Edwards,ESTIMATES OF SELECTED CARBON COMPOUNDS EMISSIONS FROM TROPICAL SAVANNA BURNING IN NORTHERN AUSTRALIA,N/A
 Laura L. Baxter,An integrated national scale SARS-CoV-2 genomic surveillance network,The Lancet. Microbe
 Laura L. Baxter,Targeted deep sequencing of urothelial bladder cancers and associated urinary DNA,N/A
 Laura L. Baxter,Arabidopsis Defense against Botrytis cinerea: Chronology and Regulation Deciphered by High-Resolution Temporal Transcriptomic AnalysisC W,N/A
 Laura L. Baxter,LARGE-SCALE BIOLOGY ARTICLE,Genome biology
 Laura L. Baxter,Signatures of Adaptation to Obligate,science
 Thomas G. Campbell,A radical treatment for surfer's eye,Case Reports
 Thomas G. Campbell,Mantle Cell Lymphoma of the Ocular Adnexa,The American journal of surgical pathology
 Thomas G. Campbell,Aberrant striatal activity in mice with a mutation implicated in a developmental speech and language disorder,N/A
 Thomas G. Campbell,The 8 mu|,IEEE Journal of Quantum Electronics (Institute of Electrical and Electronics Engineers);(United States)
 Thomas G. Campbell,"1Wellcome Trust Centre for Human Genetics, University of Oxford, Roosevelt Drive, Oxford, OX3 7BN, UK $ St. Cross College, University of Oxford, Oxford, OX1 3LZ, UK.",N/A
 H. Douglas Morris,Experiments with gradient-localized DESIRE microscopy,N/A
 H. Douglas Morris,NMR Imaging of flow velocity by phase tagging,Magnetic resonance in medicine
 H. Douglas Morris,Author Disclosure: JJ Urbanic: None. D. Case: None. G. Lesser: None. G. Enevold: None. M. Naughton: None. S. Danhauer: None. S. Rapp: None. M. Vitolins: None. S. Johnson: None …,N/A
 H. Douglas Morris,Prolonged Exercise Induces Angiogenesis and Increases Cerebral Blood Flow in Primary Motor Cortex of the Rat,Neuroscience
 Johannes Riegler,Random X-Chromosome inactivation in human,Acta Paediatrica
 Johannes Riegler,Algae Bloom Like It Hot,Science
 Johannes Riegler,Magnetic targeting of endothelial progenitor cells to coronary arteries,Biomedical Microdevices
 Johannes Riegler,The epidermal growth factor receptor network and colorectal cancer,The lancet oncology
 Johannes Riegler,A Multi-Echo Technique for Positive Contrast Detection of SPIO-labeled Cells at 9.4 T,N/A
 Fabrizio Loreni,ANALYSIS OF THE MATURATION OF TRANSCRIPTS OF THE GENE FOR THE RIBOSOMAL-PROTEIN L1 OF XENOPUS-LAEVIS,N/A
 Fabrizio Loreni,a-Synuclein expression is modulated at the translational level by iron,Neuroreport
 Fabrizio Loreni,Sviluppo TmRdb: Database per la famiglia dei TOP mRNA,N/A
 Fabrizio Loreni,"RPS19, MUTATED IN DIAMOND-BLACKFAN ANEMIA, INTERACTS WITH THE PIM-1 ONCOPROTEIN",N/A
 Fabrizio Loreni,La genetica al servizio della medicina e della nutrizione personalizzate: farmacogenetica e nutrigenetica,il caduceo
 Jonathan Flint,The Mouse Genomes Project,Mammalian Genome
 Jonathan Flint,433 Maintaining a Steady Course,N/A
 Jonathan Flint,"Full text or abstracts of the following articles, which are currently ‘in press’ in Biological Psychiatry, are available on our website now",N/A
 Jonathan Flint,"Multifactorial analysis of unconditioned anxiety, fear-potentiated startle and two-way avoidance in rats from a genetically heterogeneous stock (HS rats).",N/A
 Jonathan Flint,This Month in Genetics Research,"Journal of Speech, Language, and Hearing Research"
 William J. Pavan,"CONSERVED HOMOLOGY BETWEEN MMU-16 AND HSA-21-THE MURINE NEUROLOGICAL MUTANT, WV, MAPS TO THE CONSERVED REGION",N/A
 William J. Pavan,Issue contents 695,Ergodic Theory and Dynamical Systems
 William J. Pavan,Issue contents iii,N/A
 William J. Pavan,"B. Kantor, K. Makedonski, R. Shemer, A. Razin (Israel) Expression and localization of components of the histone deacetylases multiprotein repressory complexes in the mouse …",Gene expression patterns
 William J. Pavan,"S. Ristevski, PPL Tam, PJ Hertzog, I. Kola (Australia, USA) Ets2 is expressed during morphogenesis of the somite and limb in the mouse embryo 165",Mechanisms of development
 Ingo Grafe,MOOCS: Platform for higher Education,N/A
 Ingo Grafe,"Library Automation @ Govt. First Grade College Library (Jnanadhare) Dharwad, Karnataka: A success story (Case Study)  (Impact factor-6.261, ISSN-2348-7143).",N/A
 Ingo Grafe,Vishwa Pustaka Dina (World Book Day),N/A
 Ingo Grafe,UNDERSTANDING UNIVERSITY WEBSITES BY ACADEMIC FRATERNITY IN INDIA: A SURVEY,Business & society
 Ingo Grafe,h-Index: A Review of Literature,N/A
 Roy Morello,Lmx1b regulates Cd2ap and podocin expression and is required for proper podocyte differentiation,FASEB JOURNAL
 Roy Morello,Lmx1b expression during joint and tendon formation: Localization and evaluation of potential downstream targets.,Gene expression patterns
 Roy Morello,Lmx1b is required for podocyte differentiation and foot process morphogenesis.,AMERICAN JOURNAL OF HUMAN GENETICS
 Roy Morello,Lmx1b regulates type IV collagen gene expression and underlies renal dysplasia in nail patella syndrome.,AMERICAN JOURNAL OF HUMAN GENETICS
 Roy Morello,"Gene Mapping, Cloning and Sequencing-cDNA cloning, characterization and chromosome mapping of the gene encoding human cartilage associated protein (CRTAP)",Cytogenetic and Genome Research
 Dobrawa Napierala,Zastosowanie analizy DNA w ustalaniu ojcostwa.,N/A
 Dobrawa Napierala,Diagnostyka molekularna w biologii i medycynie,Wiadomości Parazytologiczne
 Dobrawa Napierala,Novel mutation in the RYR1 gene of the wolf [Canis lupus],N/A
 Dobrawa Napierala,DIAGNOSTYKA MOLEKULARNA,N/A
 Dobrawa Napierala,ZASTOSOWANIE ANALIZY DNA W USTALANIU OJCOSTWA,N/A
 Yuqing Chen,Microlens array induced light absorption enhancement in polymer solar cells,Physical chemistry chemical physics
 Yuqing Chen,Reducing optical losses in organic solar cells using microlens arrays: theoretical and experimental investigation of microlens dimensions,Physical Chemistry Chemical Physics
 Yuqing Chen,Plastic-Syringe Induced Silicone Contamination in Organic Photovoltaic Fabrication: Implications for Small-Volume Additives,ACS Applied Materials & Interfaces
 Yuqing Chen,Controlling nanomorphology in plastic solar cells,Nanomaterials and Energy
 Yuqing Chen,Low-boiling-point solvent additives can also enable morphological control in polymer solar cells,Synthetic metals
 Rhonald Lua,The Maternal-to-Zygotic Transition Targets Actin to Promote Robustness during,N/A
 Rhonald Lua,Illustration of the Jarzynski nonequilibrium work relation for an ideal gas,arXiv preprint cond-mat/0511302
 Rhonald Lua,Some applications of topology and statistical physics to polymer physics and molecular biology,Some applications of topology and statistical physics to polymer physics and molecular biology
 Rhonald Lua,More Comments on P (W),Technometrics
 Rhonald Lua,Knottedness of Compact Lattice Chains,N/A
 Olivier Lichtarge,Similar Structures and Shared Switch Mechanisms of the,Journal of Biological Chemistry
 Olivier Lichtarge,"Volume 331, Number",FEBS letters
 Olivier Lichtarge,One-state Downhill versus Conventional Protein Folding,Journal of molecular biology
 Olivier Lichtarge,Hydroxyl Groups in the bb Sandwich of Metallo-b-lactamases Favor Enzyme Activity: A Computational Protein Design Study,N/A
 Olivier Lichtarge,Geometry-inspired Optimization Methods for Structural Motifs for Protein Function Prediction,N/A
 John Hicks,Index to Volume 66 ASDC Journal of Dentistry for Children,N/A
 John Hicks,"Pediatric Surgery Vol 47, No 12, December 2012",N/A
 John Hicks,46H AUTHOR INDEX,N/A
 John Hicks,Index to Volume 68 ASDC Journal of Dentistry for Children,N/A
 John Hicks,"Rhabdomyosarcoma and undifferentiated sarcoma in childhood and adolescence: Clinical presentation, diagnostic evaluation, and staging",N/A
 David Eyre,SAOS-2 OSTEOSARCOMA CELLS USE EWS/ERG-RESPONSIVE CIS-ELEMENTS TO INDUCE COL11A2 COLLAGEN GENE EXPRESSION,N/A
 David Eyre,"Home address: 1950 Alaskan Way,# 336",N/A
 David Eyre,IDENTIFICATION OF MATRILIN-3 IN ADULT HUMAN ARTICULAR CARTILAGE,N/A
 David Eyre,Developmental Modifications In Type I Collagen Highlight Tissue-Defining Variances Between Ligament And Tendon,DISCOVERIES 2016
 David Eyre,CROSS-LINKING OF THE MINOR COLLAGENS TO TYPE II N-PROCOLLAGEN IN THE EXTRACELLULAR MATRIX OF CULTURED CHONDROCYTES,N/A
 Brendan H. L. Lee,"Ocular complications of pemphigus, pemphigoid and epidermolysis bullosa acquisita: A prospective study",AUSTRALASIAN JOURNAL OF DERMATOLOGY
 Brendan H. L. Lee,65 Quality of death of renal patients dying in acute hospital–does renal supportive care (rsc) lead to better deaths?,N/A
 Brendan H. L. Lee,066 Methods for grading severity of ocular involvement in patients with mucous membrane pemphigoid,Journal of Investigative Dermatology
 Brendan H. L. Lee,PROSPECTIVE STUDY ON THE OCULAR MANIFESTATIONS IN EPIDERMOLYSIS BULLOSA AND AUTOIMMUNE BLISTERING DISEASES,Investigative Ophthalmology & Visual Science
 Jose Luis Rosa,El riego deficitario mantiene la calidad postcosecha de nectarina extratemprana,N/A
 Jose Luis Rosa,DISPOSITIVO ELECTRO-ÓPTICO PARA MEDIR LA VELOCIDAD DE PROPAGACIÓN DE DESCARGAS ELÉCTRICAS,N/A
 Jose Luis Rosa,"CAMBIOS TEMPORALES EN EL ORIGEN DE LA"" MATERIA ORGANICA EN LAS MARISMAS DEL RIO MINO (NW PENINSULA IBERICA) MEDIANTE MARCADORES LIPIDICOS TEMPORAL CHANGES IN THE ORGANIC MA …",N/A
 Jose Luis Rosa,Fast characterization of wildfire effects on soil organic matter by analytical pyrolysis,N/A
 Jose Luis Rosa,1 Reduction of silver solubility by humic acid and thiol ligands during acanthite (ß-Ag2S) dissolution,N/A
 Jeannie Chen,SUPPLEMENTAL INFORMATION CHANNEL MODULATION AND THE MECHANISM OF LIGHT ADAPTATION IN MOUSE RODS,Journal of Neuroscience
