author,title,publish_place
 Hui Yang,"Phanerozoic tectonic evolution of the Circum-North Pacific Phanerozoic tectonic evolution of the Circum-North Pacific, 2001",N/A
 Hui Yang,辽西医巫闾山地区瓦子峪变质核杂岩的厘定 (英文),N/A
 Hui Yang,Natural Allanite Reference Materials for In Situ U‐Th‐Pb and Sm‐Nd Isotopic Measurements by LA‐(MC)‐ICP‐MS,N/A
 Hui Yang,"Complementary crystal accumulation and high silicic melt segregation in origin of Cretaceous intermediate-to-felsic intrusions in eastern Zhejiang, southeastern China",N/A
 Naomi K. Fukagawa,Functional and Metabolic Consequences,The Journal of nutrition
 Naomi K. Fukagawa,"IL, USA",The Journal of pathology
 Naomi K. Fukagawa,Biodiesel–the hidden dangers,N/A
 Naomi K. Fukagawa,Nutritional Biochemistry,N/A
 Naomi K. Fukagawa,Assistant Editors,N/A
 Young-Suk Kim,Assessing elementary students’ transcription and text generation during written translation: A multivariate approach,N/A
 Young-Suk Kim,Comparative Study of Risk Factors for Ischemic Stroke in Koreans: Multi-center Study,The Journal of Internal Korean Medicine
 Young-Suk Kim,Text Modification,"2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)"
 Young-Suk Kim,"The Varieties of Pathways to Dysfluent Reading Comparing Subtypes of Children With Dyslexia at Letter, Word, and Connected Text Levels of Reading",N/A
 Yu-Mi Jung,족근관증후군 환자에 있어서 수술 전 MRI 의 유용성,Journal of the Korean Society of Radiology
 Yu-Mi Jung,Nodular Fasciitis in the Finger: The Sonographic Findings and a Literature Review.,N/A
 Yu-Mi Jung,Evaluation of the Optimal Site for Retrograde Common Femoral Arterial Puncture,Journal of the Korean Society of Radiology
 Yu-Mi Jung,"Department of Radiology, Gachon University, Gil Medical Center, Incheon 405-760, Korea Korean Journal of Radiology; 2009 June; 10 (3): 310-312 View PDF",Korean Journal of Radiology
 Yu-Mi Jung,MRI findings of posterolateral corner injury on three-dimensional isotropic SPACE,N/A
 Sang-Im Lee,The effect of linguistic experience on the perception of non-native lexical tones,N/A
 Sang-Im Lee,Enhancement of sibilant contrasts during word processing by Mandarin-Min bilinguals,N/A
 Sang-Im Lee,Canonicity effect on perceived vowel duration: Evidence from Taiwan Mandarin speakers,N/A
 Sang-Im Lee,EFFECTS OF ORTHOGRAPHIC INPUT ON L2 PRODUCTION: THE CASE OF KOREAN-SPEAKING LEARNERS OF MANDARIN CHINESE,N/A
 Sang-Im Lee,THE ROLE OF REDUNDANT TEMPORAL CUE ON PERCEIVED VOWEL DURATION: EVIDENCE FROM TONE LANGUAGE SPEAKERS,N/A
 Munmun Chattopadhyay ,HSV-mediated gene transfer of erythropoietin to prevent degeneration in diabetic neuropathy,JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM
 Munmun Chattopadhyay ,219. Prolonged Bioactive Transgene Expression Driven by the HSV Latency Active Promoter 2 (LAP2) in the Peripheral Nervous System,Molecular Therapy
 Munmun Chattopadhyay ,HSV-mediated VEGF gene transfer prevents neuropathy in the diabetic mouse,MOLECULAR THERAPY
 Munmun Chattopadhyay ,Treatment of sensory neuron disease using HSV gene vectors,JOURNAL OF GENE MEDICINE
 Munmun Chattopadhyay ,Molecular mining of bubaline Bubalus bubalis genome through repetitive DNA,N/A
 Bo Li,A “spatial turn”,Tér elméleT kulTúra
 Bo Li,The control of anthropogenic emissions contributed to 80% of the decrease in PM2. 5 concentrations in Beijing from 2013 to 2017 2,N/A
 Bo Li,"Abbas, Tahir (2010): Muslim-on-Muslim Social Research: Knowledge, Power and Re-ligio-cultural Identities. In: Social Epistemology, Vol. 24, No. 2, April-June 2010, pp. 123-136 …",Social Epistemology
 Bo Li,"The potential eﬀect of a 100-year pluvial ﬂood event on metro accessibility and ridership: A case study of central Shanghai, China",Applied geography
 Bo Li,Sex work regulation and HIV risk: a qualitative analysis of the impact of different regulation regimes on among female sex workers in two US-México border cities,"Age (mean, range)"
 Ke Chen,"Aguiyi, John C., 484 Ahn, Kwangseog, 416",N/A
 Ke Chen,"Forbes, Valery E., 510 Fraichard, Annick, 639",N/A
 Ke Chen,Linda JS Allen,N/A
 Ke Chen,Scirus is science-s search en Try Sciru www. Sci,N/A
 Ke Chen,"Gygi, Daniel, 685",Biochemical and biophysical research communications
 Jinglan Wang,Exploring catalytic pyrolysis of Palm Shell over HZSM-5 by gas Chromatography/mass spectrometry and photoionization mass spectrometry,Journal of Analytical and Applied Pyrolysis
 Jinglan Wang,Experimental and kinetic modeling studies of the low-temperature oxidation of 2-methylfuran in a jet-stirred reactor,Combustion and Flame
 Jinglan Wang,Experimental and kinetic modeling study of di-n-propyl ether and diisopropyl ether combustion: Pyrolysis and laminar flame propagation velocity,Combustion and Flame
 Jinglan Wang,Experimental and kinetic modeling studies of polyoxymethylene dimethyl ether (PODE) pyrolysis in jet stirred reactor,Journal of Analytical and Applied Pyrolysis
 Jinglan Wang,Ab initio and kinetics study of the thermal unimolecular decomposition of 2-furfuryl alcohol,Computational and Theoretical Chemistry
 Gil Mor,MRI of Perturbed Decidual Angiogenesis-a Characteristic of an Embryo Implantation Failure Associated with the Conditional Depletion of Uterine Dendritic Cells,N/A
 Gil Mor,List of SMFM Fast Track Reviewers,American Journal of Obstetrics & Gynecology
 Gil Mor,"Our thanks to all those who have helped with this issue of Biomarkers in Medicine. Listed below are authors, referees and others who have kindly given their time, effort and …",Jama
 Gil Mor,"Our thanks to all those who have helped with this issue of Biomarkers In Medicine. Listed below are authors, referees and others who have kindly given their time, effort and …",Jama
 Gil Mor,H3N2 Inﬂuenza A Virus Replicates in immortalized Human First Trimester Trophoblast Cell Lines and Induces Their Rapid Apoptosis,American Journal of Reproductive Immunology
 Sandeep K. Singh,DEVELOPMENT OF A METALLISED CARBON FIBER REINFORCED PLASTIC (CFRP) ANTENNA REFLECTOR FOR SATELLITE COMMUNICATION,N/A
 Sandeep K. Singh,"Lazorenko-Manevich, RM, 111 Lee, JA, 145 Lovric, M., 347 Magee, RJ, 335",N/A
 Sandeep K. Singh,Design and study of evanescent fietd hased biosensors for the detection of rnicrobes,N/A
 Sandeep K. Singh,Enhanced Performance and Global Reachability Of Manet Nodes With Multihoming Using Nemo,N/A
 Sandeep K. Singh,ZATION OF AN INTERSPECIFIC CROSS BETWEEN JAPANESE BUNCHING ONION (Allium fistulosum) AND ONION (A. cepa),N/A
 Cheng Luo,SNP-based genetic linkage maps of cassava (Manihot esculenta),SOUTH AFRICAN JOURNAL OF BOTANY
 Cheng Luo,"IWGSC: PhySICal MaPPInG Standard ProtoColS WorkShoP Plant and animal Genome Meeting, San diego, Ca, USa tuesday, 12 January, 2010.","Edited by WJ Raupp, Department of Plant Pathology, Kansas State University, Manhattan, KS 66506-5502 USA. Facilities during manuscript editing were provided by the Plant Pathology De-partment and the Wheat Genetic and Genomic Resources Center, Kansas State University."
 Cheng Luo,An Algorithm for Discrimination of Multiple-Fragment Peaks in Capillary Fingerprinting Chromatograms,N/A
 Cheng Luo,Evaluation of Crosses of Bread Wheat cv. Kaixianluohanmai with Alien Species [J],N/A
 Cheng Luo,Screening of a new wheat variety,Journal of plant nutrition
 Ronen Marmorstein,Full wwPDB X-ray Structure Validation Report i,Word wide protein data bank
 Ronen Marmorstein,PDB ID: 4K2J RCSB ID: RCSB078809 TITLE: Decameric ring structure of KSHV (HHV− 8) latency− associated nuclear antigen (LANA) DNA binding domain,ILE
 Ronen Marmorstein,Structure of the Chromatin Protein Alba from Archaeoglobus fulgidus,N/A
 Ronen Marmorstein,"5569 Dynamic proteins: changes in structures, activities and networks LM Miller Jenkins & D. Figeys 5570 Structure and mechanism of non-histone protein acetyltransferase enzymes",The FEBS Journal
 Ronen Marmorstein,Five things you might not know about Elsevier,Transportation Research Part A: Policy and Practice
 Tomasz Kordula,QS336. Homeobox D3 and D8 are Differentially Expressed in Fetal Mouse Excisional Wounds,Journal of Surgical Research
 Tomasz Kordula,Differential sphingosine kinase expression in mid-versus late-gestational fetal mouse excisional wounds,WOUND REPAIR AND REGENERATION
 Tomasz Kordula,Sphingosine-1-phosphate partially abrogates TGF-beta-induced aSMA expression in embryonic fibroblasts independent of the type-1 TGF-beta receptor: Implications for wound healing,N/A
 Tomasz Kordula,Oncostatin M,Progress in growth factor research
 Tomasz Kordula,BCR/ABL kinases MIMIC hematopoietin receptors by activating common sets of signal transducer and activator of transcription (STAT) proteins and inducing gene expression through …,BLOOD
 Sarah Spiegel,"Supplementary Data for"" Sphingolipid signalling in Arabidopsis guard cells involves heterotrimeric G proteins",N/A
 Sarah Spiegel,Abs# 272: Regulation of ion channel activity by sphingosine-1-phosphate in Arabidopsis guard cells,BMB Reports
 Sarah Spiegel,IUPHAR Nomenclature Report,Drug development research
 Sarah Spiegel,A selective sphingosine kinase 1 inhibitor integrates multiple molecular,N/A
 Sefik Evren Erdener,Chronic mouse imaging: From optical systems to functional ultrasound,N/A
 Sefik Evren Erdener,İskemik penumbrada mikrodolaşımın dinamik sorunları,N/A
 Sefik Evren Erdener,Dinamik Kontrast MR Permeabilite Görüntülemenin Nöromyelitis Optika Spektrum Hastalarında Aquaporin Kanal Disfonksiyonunun Gösterilmesinde Yeri Olabili rmi,N/A
 Sefik Evren Erdener,Auditory-visual speech perception in bipolar disorder: behavioural data and physiological predictions,N/A
 Sefik Evren Erdener,MADSAM Nöropatisine Eşlik Eden Tümefaktif Beyin Demyelinizasyonu,N/A
 Yasemin Gursoy-Ozdemir,Whisker stimulation can induce cortical spreading depression in pharmacologically primed mouse brain,N/A
 Yasemin Gursoy-Ozdemir,Spreading Depolarization Waves in Neurological Diseases: A Short Review about its Pathophysiology and Clinical Relevance,Current Neuropharmacology
 Yasemin Gursoy-Ozdemir,"Ultrastuctural investigation of lysosomal rupture, necroapoptotic interactions in neurons shortly after focal ischemia",N/A
 Yasemin Gursoy-Ozdemir,https://www.ncbi.nlm.nih.gov/pubmed/11640903,N/A
 Yasemin Gursoy-Ozdemir,epilepsy,Epilepsia
 Sevda Lule,"AAV9 transduction mediated by systemic delivery of vector via retro-orbital injection in newborn, neonatal and juvenile mice",Experimental animals
 Sevda Lule,Longitudinal assessment of Glutamatergic Neurosystem in Fragile X Knock Out Mouse Model,N/A
 Sevda Lule,In vivo characterization of metabotropic glutamate 2 and 5 receptors in Alzheimer’s Disease,N/A
 Sevda Lule,Data of indirect immunofluorescence labeling of the mouse brain sections with sera from SLE and MS patients,Data in brief
 Sevda Lule,Pet Imaging of mGluR5 in Fragile X Syndrome: A Longitudinal Study Using a FMR1 Knockout Mouse Model,N/A
  Shigekazu Nagata,"thesis of N2, N2-dimethyl-guanosine on the cytoplasmic and",N/A
  Shigekazu Nagata,Autoimmune Disease and Impaired Uptake of Apoptotic Cells in Germinal Centers of MFG-E8–Deficient Mice,Science
  Shigekazu Nagata,"Processing of tumor necrosis factor by the membrane-bound TNF-a-converting enzyme, but not its truncated soluble form",European Journal of Biochemistry
  Shigekazu Nagata,Fas,Science
  Shigekazu Nagata,Programmed cell death,cell
  Bert Vogelstein,S126 Friday 22 November Poster Sessions,N/A
  Bert Vogelstein,RESEARCH FRONT: Dedication to Roger Bishop Guest Editor: Pall Thordarson,N/A
  Bert Vogelstein,Biological Sciences: Diagnostics,Clinical Pharmacology & Therapeutics
  Bert Vogelstein,Saccharomyces cerevisiae,Bacteriological reviews
  Bert Vogelstein,Highlighted Papers,Tectonics
 Michael Hsu,TÄTIGKEITSBERICHT,N/A
 Michael Hsu,Assessment of Eddy-resolving techniques fort the flow over periodically arranged hills up to Re= 37000,N/A
 Michael Hsu,Advanced Simulation Techniques for Turbulent Flows Using HPC,Leibniz-Rechenzentrum
 Michael Hsu,3D-Simulation of Czochralski Crystal Growth,Journal of crystal growth
 Michael Hsu,Prediction of Particle-Laden Turbulent Flows,Applied scientific research
  Irina M. Conboy,EFFECTS OF POLYMORPHIC CLASS-II RESIDUES ON MHC-RESTRICTED T-CELL RESPONSES TO A MYELIN BASIC-PROTEIN PEPTIDE,N/A
  Irina M. Conboy,RESEARCH PERSPECTIVE,N/A
  Irina M. Conboy,Supporting Information Sorting single satellite cells from individual myofibers reveals heterogeneity in cell-surface markers and myogenic capacity,Integrative Biology
  Irina M. Conboy,Stem-Cell Surface Marker Interrogation via Resistive-Pulse Sensing: Screening for Sca-1 Expression in Mouse Muscle Stem Cells,N/A
  Irina M. Conboy,Breakthrough Paper: ALK5 Inhibitor A Single Drug Simultaneously Rejuvenates Hippocampal Neurogenesis and Myogenesis In The Same Old Mammal,N/A
 Zhenning Liu,Depth-efficient proofs of quantumness,arXiv preprint arXiv:2107.02163
 Zhenning Liu,The Duhem-Quine problem in experimental tests of Bertrand’s paradox and maximum ignorance,arXiv preprint arXiv:1806.00308
 Zhenning Liu,Experimental tests of Bertrand’s question and the Duhem–Quine problem,European Journal of Physics
 Sen Zhang,Theory and Numerical Methods,Journal of Glaciology
 Sen Zhang,Interspecific competition suppresses adaptive radiation,N/A
 Sen Zhang,Top-down and bottom-up regulation of community assembly,Ecology letters
 Sen Zhang,A Survey of Research on Service-Spacecraft Orbit Design,N/A
 Sen Zhang,"ISSN 1796-2056 Volume 8, Number 9, September 2013",N/A
 Lei Zhang,Generalized Unitarily Invariant Gauge Regularization for Fast Low-Rank Matrix Recovery,IEEE Transactions on Neural Networks and Learning Systems
 Lei Zhang,Extreme Channel Prior Embedded Network for Dynamic Scene Deblurring,IEEE Transactions on Image Processing
 Lei Zhang,Finger-Knuckle-Print Verification,Pattern recognition
 Lei Zhang,Semi-coupled dictionary learning with applications to image super-resolution and photo-sketch synthesis,2012 IEEE Conference on Computer Vision and Pattern Recognition
 Lei Zhang,Real-world Video Super-resolution: A Benchmark Dataset and A Decomposition based Learning Scheme-Supplementary Material,N/A
 Sang Hyun Lee,Social Learning’s Effect on Absenteeism: The Impact of Project Turnover,N/A
 Sang Hyun Lee,MODELING AND REPRESENTATION OF NON-VALUE ADDING ACTIVITIES DUE TO ERRORS AND CHANGES IN DESIGN AND CONSTRUCTION PROJECTS,2007 Winter Simulation Conference
 Sang Hyun Lee,A ROBUST POSITIONING ARCHITECTURE FOR CONSTRUCTION RESOURCES LOCALIZATION USING WIRELESS SENSOR NETWORKS,Proceedings of the 2011 Winter Simulation Conference (WSC)
 Sang Hyun Lee,LESSONS LEARNED FROM UTILIZING DISCRETE-EVENT SIMULATION MODELING FOR QUANTIFYING CONSTRUCTION EMISSIONS IN PRE-PLANNING PHASE,Proceedings of the 2010 Winter Simulation Conference
 Jing Zhang,CHANGES OF THROMBOXANE A_2 AND PROSTACYCLIN IN RABBITS SUFFERING FROM DECOMPRESSION SICKNESS,N/A
 Jing Zhang,New windows into the brain: Central nervous system-derived extracellular vesicles in blood.,Progress in neurobiology
 Jing Zhang,Biomarkers in Clinical Practice and Research in Parkinson’s Disease,Parkinsonism & related disorders
 Jing Zhang,"SNCA, a novel biomarker for Group 4 medulloblastomas, can inhibit tumor invasion and induce apoptosis",Cancer science
 Jing Zhang,Recommendations of the Global Multiple System Atrophy Research Roadmap Meeting.,Neurology
 Sabina Signoretti,Diagnostic Criteria for Primary Cutaneous Marginal Zone B-Cell Lymphomas: 20,The American Journal of Dermatopathology
 Sabina Signoretti,Mitogen-activated-protein kinase phosphatase (MKP-1) expression in anaplastic large cell lymphomas,Journal of Biological Chemistry
 Sabina Signoretti,Blocking PI3K p110β Attenuates Development of PTEN-Deficient Castration-Resistant Prostate CancerRoles of p110β in PTEN-deficient CRPC,Molecular Cancer Research
 Sabina Signoretti,"325 Identification of Glypican-3 (GPC3) Expression in a Lethal Subgroup of Refractory Cisplatin-Resistant Testicular Germ-Cell Tumors Jad Chahoud, Miao Zhang, Louis L. Pisters …",Clinical Genitourinary Cancer
 Sabina Signoretti,Supplemental Information Targeting Lactate Dehydrogenase-A Inhibits Tumorigenesis and Tumor Progression in Mouse Models of Lung Cancer and Impacts Tumor-Initiating Cells,Cell metabolism
 Massimo Loda,1651 Mutation-Specific Antibodies for the Detection of EGFR Mutations in Non-Small-Cell Lung Cancer,Clinical Cancer Research
 Massimo Loda,EuPA Open Proteomics,EuPA Open Proteomics
 Massimo Loda,"101 Health-Related Quality of Life in Advanced Prostate Cancer and Its Treatments: Biochemical Failure and Metastatic Disease Populations Oliver Sartor, Emuella Flood, Kathleen …",Clinical Genitourinary Cancer
 Massimo Loda,Diagnostic Studies in Lung Cancer Lucian R. Chirieac,European journal of cancer
 Massimo Loda,Virus-1 Vertical Transmission,The American journal of pathology
 Thomas M. Roberts,"Thomas F. Glick, From Muslim Fortress to Christian Castle: Social and Cultural Change in Medieval Spain. Manchester, Eng., and New York: Manchester University Press, 1995. Pp …",N/A
 Thomas M. Roberts,"Gerard Wiegers, Islamic Literature in Spanish and Aljamiado: Yça of Segovia (fl. 1450), His Antecedents and Successors, Medieval Iberian Peninsula: Texts and Studies, Vol. 8 …",International Journal of Middle East Studies
 Thomas M. Roberts,The Medieval Spains,N/A
 Thomas M. Roberts,"The Influence of the Apology of Al-Kindî and Contrarietas Alfolica on Llull's Late Religious Polemics, 1305-1313",N/A
 Thomas M. Roberts,The Four Oldest Latin Quotations of the Qur’an: Eighth/Ninth-Century al-Andalus,N/A
 Natalie S. Poulter,A Community Intervention to Improve Blood Pressure Control in a Developing Country,Annals of internal medicine
 Natalie S. Poulter,Home Health Education and Physician Training to Improve Care for Patients With High Blood Pressure in a Developing Country,N/A
 Natalie S. Poulter,ContentsAnnals of Internal Medicine®,Annals of internal medicine
 Natalie S. Poulter,Clustering of GPVI dimers upon adhesion to collagen as a mechanism to regulate GPVI signalling in platelets,N/A
 Natalie S. Poulter,CR1289: SELF-INCOMPATIBILITY SIGNALLING NETWORKS: CONVERSATIONS THAT TELL “SELF” POLLEN TO COMMIT SUICIDE,N/A
 Andrea Harper,"Identification of the pollen self-incompatibility determinant in Papaver rhoeas (vol 459, pg 992, 2009)",Nature
 Andrea Harper,Project Report No. 533,N/A
 Andrea Harper,Genome wide association study (GWAS) for silica content in rice stem,Genome
 Andrea Harper,Molecular markers for tolerance of European ash (&≤∏© Æµ≥•∏£•≥© Ø≤) to dieback disease identified using Associative Transcriptomics,N/A
 Andrea Harper,Regression analysis of gene expression values against disease symptoms,Cell host & microbe
 F. Christopher H. Franklin,Investigating mechanisms involved in the self,N/A
 F. Christopher H. Franklin,Spatio-Temporal Asymmetry of the Meiotic Pathway in Hexaploid Bread Wheat,N/A
 F. Christopher H. Franklin,The Synaptonemal Complex Protein ZYP1 Is Required for Imposition of Meiotic Crossovers in BarleyW OPEN,N/A
 F. Christopher H. Franklin,Identification and characterization of genes involved in self-incompatibility (SI) in Lolium perenne,XXVII th EUCARPIA SYMPOSIUM ON IMPROVEMENT OF FODDER CROPS AND AMENITY GRASSES
 F. Christopher H. Franklin,CR1289: SELF-INCOMPATIBILITY SIGNALLING NETWORKS: CONVERSATIONS THAT TELL “SELF” POLLEN TO COMMIT SUICIDE,N/A
  Vernonica E. Franklin-Tong,244: Self incompatibility (SI) in Papaver rhoeas: effects of an incompatible response on gene expression in pollen,N/A
  Vernonica E. Franklin-Tong,Self-incompatibility in Papaver,Journal of experimental botany
  Vernonica E. Franklin-Tong,"Supplemental Information The Papaver Self-Incompatibility Pollen S-Determinant, PrpS, Functions in Arabidopsis thaliana",Current Biology
  Vernonica E. Franklin-Tong,Investigating mechanisms involved in the self,N/A
  Vernonica E. Franklin-Tong,Death of a pollen tube: Papaver uses programmed cell death to inhibit incompatible pollen,N/A
 Fabienne Lesueur,Trajectoires du tabagisme en période périnatale chez les femmes de la cohorte ELFE,N/A
 Fabienne Lesueur,Impact d’un programme d’exercices de prévention des chutes sur la qualité de vie des femmes âgées: l’essai «Ossébo»,N/A
 Fabienne Lesueur,The Effect of Fall Prevention Exercise Programmes on Fall Induced Injuries in Community-Dwelling Older Adults,BMj
 Fabienne Lesueur,Usage de la cigarette électronique chez les adolescents: où en est-on en 2017?,N/A
 Fabienne Lesueur,"Social inequalities in postpartum depression: the mediating role of social support during pregnancy, according to migrant status-Data from the French representative ELFE cohort …",European Journal of Public Health
 Thomas Strub,Mode d'action du facteur de transcription MITF dans la physiopathologie des cellules de mélanome humain,N/A
 Thomas Strub,Role of the transcription factor MITF in the physiopathology of human melanoma cells,Experimental dermatology
 Thomas Strub,An oncogenic MITFgermline mutation impairs sumoylation and predisposes to melanoma and renal carcinoma: SMR-P118,N/A
 Thomas Strub,Identification and characterisation of the MITF-interactome,PIGMENT CELL & MELANOMA RESEARCH
 Thomas Strub,"Identification of MITF regulated genes involved in melanoma proliferation, migration and invasion",PIGMENT CELL & MELANOMA RESEARCH
 many others,Moyamoya Disease of Childhood as a Cause of Recurrent Cerebral Ischemic Attacks-A Case Report,N/A
 many others,"Assessment of gastrointestinal parasites in pit latrine samples from majjini mohallah valley gilgit, Pakistan",N/A
 many others,Gastrointestinal parasites and bacteria’s in vegetables grown in soil treated with organic manure,N/A
 many others,Effect of salinity and prey algae on Artemia sinica (Anostraca: Artemiidae) growth and survival,N/A
 many others,"Health risk assessment of pit compost latrine at Oshkhandas Valley, Gilgit-Baltistan, Pakistan",N/A
 Qibing Lin,Size Effect on Mechanical Properties of Rock-Like Materials with Three Joints,Geotechnical and Geological Engineering
 Qibing Lin,Experimental Study on Shear Characteristic of Filling Rock Joints Under Constant Normal Load Conditions,N/A
 Qibing Lin,Study on rock breakage by disc cutter under coupled static and dynamic loads,N/A
 Qibing Lin,Experimental study of rock fragmentation and acoustic emission of jointed rock under disc cutters,Journal of Central South University
 Qibing Lin,Influence of Rock Breaking Characteristics with Disc Cutter Width Under Different Confining Pressure,Tunnelling and Underground Space Technology
 Nitzan Shabek,A KARRIKIN INSENSITIVE2 paralog in lettuce mediates highly sensitive germination responses to karrikinolide,bioRxiv
 Nitzan Shabek,Structural and Functional Analyses Explain Pea KAI2 Receptor Diversity and Reveal Stereoselective Catalysis During Signal Perception,Communications Biology
 Nitzan Shabek,Structural Basis of the Strigolactone Signaling through Plant SCF E3 complex,The FASEB Journal
