author,title,publish_place
 Mario Castellucci,LIF 4-Fluorostyrene–neon (1/1)(large-amplitude motion)(weakly bound complex),N/A
 Jian Guan,Experimental measurement-dependent local Bell test with human free will,Physical Review A
 Jian Guan,Time-Frequency Transfer through a 70 dB Free Space Channel: Towards Satellite-Ground Time Dissemination,arXiv preprint arXiv:2003.08322
 Jian Guan,Color Blind Detectors Enable Chromatic Interferometry,N/A
 Jian Guan,Experimental quantum money,npj Quantum Information
 Jian Guan,Achieving 200 km of Measurement-device-independent Quantum Key Distribution with High Secure Key Rate,N/A
 Bin Chen,Chapter XX Life Cycle Assessment of Biogas Systems,N/A
 Bin Chen,Energy economics and policy,N/A
 Bin Chen,Evaluation of a Low-Carbon City&58; Method and Application,Entropy
 Bin Chen,The Comparision among Four Carbon Footprint Estimation Boundaries of the Sectors Using Chongqing as a Case,N/A
 Bin Chen,EnNan2016–Environmental Nanotechnology,N/A
 Qisheng Li,TOWARDS THE IDENTIFICATION OF GENES INVOLVED IN THE ANTIVIRAL ACTIVITY OF RIBAVIRIN AGAINST HCV INFECTION,N/A
 Qisheng Li,IDENTIFICATION OF ANTI-HEPATITIS C VIRUS INTERFERON-STIMULATED GENES USING A FUNCTIONAL GENOMICS APPROACH,N/A
 Qisheng Li,A NOVEL NF-KAPPAB-INDEPENDENT FUNCTION OF IKKALPHA IN HEPATITIS C VIRUS ASSEMBLY,N/A
 Qisheng Li,"Characterization of gene induction and antiviral effects on HCVcc following ribavirin, interferon and polyIC stimulation",N/A
 Qisheng Li,"Disclosures: Stanley M. Lemon-Advisory Committees or Review Panels: Merck, Santaris, Abbott, Gilead; Consulting: Achillion, Idenix; Grant/Research Support: Merck, Tibotec …",N/A
 Xiaokang Zheng,Semi-Supervised Multi-Temporal Deep Representation Fusion Network for Landslide Mapping from Aerial Orthophotos,Remote Sensing
 Xiaokang Zheng,多分类系统类别语义分析——以自然资源调查为例,N/A
 Xiaokang Zheng,Cloud Removal in Optical Remote Sensing Imagery Using Multiscale Distortion-Aware Networks,N/A
 Xiaokang Zheng,A Hybrid Model-Based and Data-Driven Approach for Cloud Removal in Satellite Imagery Using Multi-Scale Distortion-Aware Networks,2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS
 Xiaokang Zheng,Style Transformation-Based Change Detection Using Adversarial Learning with Object Boundary Constraints,N/A
 Shuang Wang,Regulation of neuropeptide Y on sweet taste in central nucleus of amygdala and its mechanism,N/A
 Shuang Wang,NEUROSCIENCE BULLETIN 2007 Vol. 23 I. 6,N/A
 Shuang Wang,NEUROSCIENCE BULLETIN 2009 Vol. 25 I.,American Journal of Psychiatry
 Shuang Wang,Regulation of neuropeptide Y in central nucleus of amygdaloid on feeding of fasted rats,N/A
 Shuang Wang,Submitted to Scientific Reports Transient increase of interleukin-1β after prolonged febrile seizures promotes adult epileptogenesis through long-lasting upregulating …,Scientific reports
 Yi Ding,Nanoporous Metals for Heterogeneous Catalysis: Following the Success of Raney Nickel,N/A
 Yi Ding,Enhancing the performance of MnO by double carbon modification for advanced lithium-ion battery anode,Journal of Materials Chemistry A
 Yi Ding,Catalysis and Electrocatalysis by Nanoporous Gold,Acs Catalysis
 Yi Ding,Catalytic Nanoporous Gold for Sonogashira Reaction,N/A
 Yi Ding,Nanoporous Gold Leaf Based Electrodes for Advanced Energy Technologies,N/A
 Mauro Di Ianni,Does 5-azacitidine increase transgene expression? Results of a preliminary in vivo study.,N/A
 Mauro Di Ianni,Role of DNA-demethylating agent 5-azacitidine in maintenance of transgene expression in SCID mice. A study performed with a biscistronic retroviral vector.,N/A
 Mauro Di Ianni,Transduction of beta-galactosidase gene into U937 cell line: In vitro and in vivo evidence of stably expression of the transgene,N/A
 Mauro Di Ianni,''Suicide''gene transduction into U937 leukemic cell line,N/A
 Mauro Di Ianni,"F. Yates, C. Hue, M. Malassis-Séris, DB Kohn, A. Fischer, JP de Villartay, M. Cavazzana-Calvo (Paris, F; Los Angeles, USA)",N/A
 Laura Cavalli,Couples’ second child fertility intentions and disagreement in Italy: A Bargaining Process Approach,N/A
 Laura Cavalli,A dynamic general equilibrium model for Italy: assessing the redistributive effects of public policies.,N/A
 Laura Cavalli,Italian Cities SDGs Composite Index,N/A
 Laura Cavalli,Authors for this volume,N/A
 Katia Fettucciari,Engineering Mesenchymal Cells with Interleukin 7 Gene: In Vitro Effects on Naive T Cell Population.,N/A
 Katia Fettucciari,Group B streptococcus (GBS) causes macrophage PLA (2) s activation and modification of phosphatidylserine metabolism during induction of apoptosis,N/A
 Katia Fettucciari,Graft engine,N/A
 Katia Fettucciari,CELLULAR IMMUNOLOGY AND IMMUNE REGULATION-Differential Role of p38 and c-Jun N-Terminal Kinase 1 Mitogen-Activated Protein Kinases in NK Cell Cytotoxicity,The Journal of Immunology
 Katia Fettucciari,Cytokine gene expression in group a streptococcus-infected macrophages,N/A
 Andrea Bartoli,"Spatial Economic Modeling of the Waste-driven Agricultural Biogas in Lubelskie Region, Poland",Environmental and Climate Technologies
 Andrea Bartoli,The Impact of Different Energy Policy Options on Feedstock Price and Land Demand: The case of Biogas in Lombardy.,N/A
 Andrea Bartoli,La sostenibilità economico-ambientale del biogas in Lombardia: relazione finale progetto ECO-BIOGAS,N/A
 Andrea Bartoli,Relazione finale progetto ECOBIOGAS-La risposta delle aziende: i risultati dell'indagine diretta,N/A
 Andrea Bartoli,Le produzioni non alimentari,N/A
 Isabella Screpanti,"Variable common immunodeficiency. A case of hypogammaglobulinemia of late onset, with functional deficit of the T-lymphocytes",N/A
 Isabella Screpanti,COMMON VARIABLE IMMUNODEFICIENCY-A CASE OF LATE-ONSET HYPOGAMMAGLOBULINEMIA WITH T-CELL DEFECT,N/A
 Isabella Screpanti,"Supplementary Material: Targeting Notch to Maximize Chemo-therapeutic Benefits: Rationale, Advanced Strategies, and Fu-ture Perspectives",N/A
 Isabella Screpanti,Oncogenic role of miR-223 in Notch3 induced T Cell Acute Lymphoblastic Leukemia,N/A
 Isabella Screpanti,Brief Definitive Report,N/A
 Sandeep Sreevalsan,"The cannabinoid WIN 55,212-2 decreases specificity protein transcription factors and the oncogenic cap protein eIF4E in colon cancer cells",Molecular cancer therapeutics
 Sandeep Sreevalsan,"1, 1-Bis (3'-indolyl)-1-(p-bromophenyl) methane and related compounds repress survivin and decrease γ-radiation-induced survivin in colon and pancreatic cancer cells",International journal of oncology
 Sandeep Sreevalsan,MLLT6 maintains PD‐L1 expression and mediates tumor immune resistance,EMBO reports
 Sandeep Sreevalsan,"Inhibition of Rhabdomyosarcoma Cell and Tumor Growth by Targeting Specificity Protein (Sp) Transcription Factors (vol 132, pg 795, 2013)",International journal of cancer
 Sandeep Sreevalsan,Molecular Mechanisms of Cannabinoids as Anti-cancer Agents,Molecular Mechanisms of Cannabinoids as Anti-cancer Agents
 Kyounghyun Kim,"Inhibition of Rhabdomyosarcoma Cell and Tumor Growth by Targeting Specificity Protein (Sp) Transcription Factors (vol 132, pg 795, 2013)",International journal of cancer
 Kyounghyun Kim,"Hotair, a long non-coding RNA, exhibits pro-oncogenic activity in pancreatic cancer",N/A
 Kyounghyun Kim,Regulation of mTOR pathway by the orphan nuclear receptor NR4A1 (TR3/Nur77) in non-small cell lung cancer: Role of TR3 in AMPK activation,N/A
 Kyounghyun Kim,Crosstalk between Aryl hydrocarbon receptor and Estrogen receptor signaling pathways in human breast cancer cells,N/A
 Kyounghyun Kim,Domain analysis for estrogen receptor/Sp1-mediated transactivation and detection of estrogen receptor/Sp1 protein interactions in living cells,Domain analysis for estrogen receptor/Sp1-mediated transactivation and detection of estrogen receptor/Sp1 protein interactions in living cells
 Lisa Crose,"Say “Sul Sul!” to SimSim, A Sims-Inspired Platform for Sandbox Game AI",Proceedings of the AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment
 Lisa Crose,2020 Preface,TEEM 2020 Preface
 Lisa Crose,The 2020 Conference on Artificial Life (full proceedings pdf),N/A
 Lisa Crose,Reviewers for Volume 25,N/A
 Lisa Crose,Is evolution fundamentally creative?,N/A
 Stephen Safe,Inhibidores endocrinos–un análisis,N/A
 Stephen Safe,EDlTbRlAL BOARD,N/A
 Stephen Safe,In vitro thermal inactivation of hepatic Ah receptor from several mammalian species. By NJ Bunce,N/A
 Stephen Safe,"Invited Viewpoint Major hazards in the process industries: Achievements and challenges in loss prevention HJ Pasman (Rijswijk, Netherlands), HA Duxbury (Cheshire, UK) and EN",N/A
 Stephen Safe,US Environmental Protection Agency’s Endocrine Disrupting Chemicals Research Program: Summary of a Peer-Review Report,N/A
 Xiaojuan Li,PSP 101.0,a(A. 7)
 Xiaojuan Li,PURANG ABOLMAESUMI,N/A
 Xiaojuan Li,PSP 103.1. 2 (beta),N/A
 Xiaojuan Li,PURANG ABOLMAESUMI,N/A
 Xiaojuan Li,IEEE Officers,IEEE Network
 Yuying Zhang,A comparative study of monitoring programs for coherence in quantifying the dynamics of American lobster fisheries in the state of Maine,N/A
 Yuying Zhang,2.8 Band structures in the doubly odd nucleus 130 Cs,N/A
 Yuying Zhang,2.7 High-spin states in 127 I,Journal of the American Chemical Society
 Yuying Zhang,"This journal is part of ContentsDirect, the free alerting service which sends tables of contents by e-mail for Elsevier books and journals. You can register for ContentsDirect …",N/A
 Yuying Zhang,journal homepage: www. elsevier. com/locate/elecom,N/A
 Yu Wang,EFFECT OF OSTEOCLAST DEFICIENCY ON PERIAPICAL BONE-RESORPTION IN TL/TL RATS,N/A
 Yu Wang,Suppression of Tumor Necrosis Factor-mediated Apoptosis by Nuclear Factor B-independent Bone Morphogenetic Protein/Smad Signaling,N/A
 Yu Wang,Best of Supplement—Best of 2012 (Best of Cell Stem Cell),Clinical Cancer Research
 Yu Wang,Osteoblast Play an Essential Role in Periodontal Bone Loss Through Activation of Nuclear Factor-Kappa B,Scientific reports
 Yu Wang,The inhibitory role of NFκB in bone matrix protein expression,N/A
 Yi Cai,Cosmology of f(T) Teleparallel Gravity,Reports on Progress in Physics
 Yi Cai,Summary of Parallel Session:“Cosmology—Early Universe”,N/A
 Yi Cai,The origin of the universe and the ali primordial gravitational waves detection,N/A
 Yi Cai,Acknowledgement to Reviewers of Universe in 2015,N/A
 Zhenhua Huang,Experimental and Analytical Studies of Settling Sediment Clouds,N/A
 Zhenhua Huang,EFFECTS OF CURRENTS ON DOUBLE SLOTTED WAVE BARRIERS,N/A
 Zhenhua Huang,A linear theory for wave scattering by double slotted barriers A linear theory for wave scattering by double slotted barriers in weak steady currents1,N/A
 Zhenhua Huang,WAVES AND CURRENTS OVER A SEABED OF FINITE DEPTH,N/A
 J. Carson,of health and wildlife sciences can help answer complicated questions regarding infectious diseases.,N/A
 J. Carson,Giant panda behavior across a coupled human and natural system,Giant panda behavior across a coupled human and natural system
 J. Carson,Interactive effects of multiple conservation and development policies,N/A
 J. Carson,Effects of Government Policies and Natural Disasters on the Patterns of Forest Cover Change in the Sichuan Giant Panda Sanctuary (China),N/A
 J. Carson,"Conservation Program Enrollment under Different Reforestation Policy Scenarios in Wolong Nature Reserve, China",N/A
 B. Nowak,Additional file,Nutr J
 B. Nowak,Nanosafety research without animal testing,N/A
 B. Nowak,Nanosicherheitsforschung ohne Tierversuche,N/A
 B. Nowak,1 Environmental Pollution at volume 150,Journal of Environmental and Public health
