author,title,publish_place
Zhongpu Chen,ITISS: an efficient framework for querying big temporal data,GeoInformatica
Zhongpu Chen,Flexible Aggregate Nearest Neighbor Queries and its Keyword-Aware Variant on Road Networks,N/A
Yushen Jiang,Extracellular Ca2+ and Glutamate Modulating the Function of Metabotropic Glutamate Receptor 1 Alpha (mGluR1α),Biophysical Journal
Yushen Jiang,Chromophore Formation of Fluorescence Proteins and Its Application of Developing Ca2+ Sensors,Biophysical Journal
Yushen Jiang,"POLH, POLI, POLK 启动子区转录因子结合部位的生物信息学分析及其重组质粒的构建",N/A
Yushen Jiang,"Tuesday, February 28, 2012 509a",Biophysical Journal
Yushen Jiang,"120a Sunday, March 1, 2009",N/A
Brenda A. Wilson,Active-site studies of Diphtheria Toxin: Proposed Mechanism of ADP-ribosylation and NAD-glycohydrolysis,N/A
Brenda A. Wilson,"Development of a Rapid, E cient, Intelligent and Cost-Saving Tool to Diagnose Pasteurella Multocida by Using Whole Genome Sequence and Genotypes of Pasteurella Multocida From …",N/A
Brenda A. Wilson,New and Re-emerging Infectious Diseases,Nature
Brenda A. Wilson,389 The vaginal microbiome in health and,N/A
Brenda A. Wilson,"Spatial and temporal variation in the gut microbiome of wild, black howler monkeys (Alouatta pigra).",N/A
S. Jeyaseelan,Molecular basis for cellular and species-specificity of Mannheimia haemolytica leukotoxin,N/A
S. Jeyaseelan,CELLULAR MICROBIOLOGY: PATHOGEN-HOST CELL MOLECULAR INTERACTIONS-Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine …,N/A
S. Jeyaseelan,MOLECULAR AND CELLULAR PATHOGENESIS-Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,Infection and Immunity
S. Jeyaseelan,Supplemental Information CXCL5 Regulates Chemokine Scavenging and Pulmonary Host Defense to Bacterial Infection,Immunity
S. Jeyaseelan,Receptor interacting protein (RIP) 2 mediated signaling in response to pulmonary Klebsiella infection,N/A
Samithamby Jeyaseelan,Molecular basis for cellular and species-specificity of Mannheimia haemolytica leukotoxin,N/A
Samithamby Jeyaseelan,CELLULAR MICROBIOLOGY: PATHOGEN-HOST CELL MOLECULAR INTERACTIONS-Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine …,N/A
Samithamby Jeyaseelan,MOLECULAR AND CELLULAR PATHOGENESIS-Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes,Infection and Immunity
Samithamby Jeyaseelan,Supplemental Information CXCL5 Regulates Chemokine Scavenging and Pulmonary Host Defense to Bacterial Infection,Immunity
Samithamby Jeyaseelan,Receptor interacting protein (RIP) 2 mediated signaling in response to pulmonary Klebsiella infection,N/A
Paola Massari,Helicobacter pylori Binding of the,Helicobacter
Paola Massari,"Marta Marchetti*, Michela Rossi*, Valentina Giannelli",N/A
Paola Massari,HELICOBACTER PYLORI VACUOLATING TOXIN INDUCES Ca2+-MEDIATED Cl--SECRETION IN CACO-2 CELLS.,N/A
Paola Massari,The Helicobacter pylori Vacuolating Cytotoxin,N/A
Paola Massari,Meningococcal porin PorB activity is abrogated in TLR2 ko B cells.,The Journal of Immunology
Min-Hee Cho,"CLONING, EXPRESSION, AND CHARACTERIZATION OF IRON-CONTAINING SUPEROXIDE DISMUTASE FROM NEOSPORA CANINUM",N/A
Min-Hee Cho,GFP-tagged E. coli shows bacterial distribution in mouse organs: pathogen tracking using fluorescence signal,Clinical and experimental vaccine research
Min-Hee Cho,Expression and characterization of an iron-containing superoxide dismutase from Burkholderia pseudomallei,N/A
Min-Hee Cho,The laboratory diagnosis of melioidosis in a Korean patient,Journal of Bacteriology and Virology
Min-Hee Cho,Bacillus anthracis capsule promotes TNF-α expression and NF-kB activation through activation of TLR2 in phorbol 12-myristate 13-acetate-differentiated THP-1 and human monocyte …,N/A
Yuan Du,Perceived Stress in First-Year Medical Students and its Effect on Gut Microbiota,bioRxiv
Yuan Du,Synaptic mechanisms underlying the rapid‐acting antidepressant actions of ketamine,N/A
Yuan Du,Automated detection and analysis of neuronal persistent activity,N/A
Yuan Du,P1‐354: The mislocalization of tau to dendritic spines mediates synaptic dysfunction independent of neurodegeneration,Alzheimer's & Dementia
Eva Hervet,¿ El modisto propone y la mujer dispone?,N/A
Asim A. Siddiqui,Large-scale production of SAGE libraries from microdissected tissues,Genome research
Asim A. Siddiqui,Gene Expression Platforms for Global Co-Expression Analyses,SAGE
Asim A. Siddiqui,I) Supplementary Materials,Composites Part B: Engineering
Asim A. Siddiqui,JPred: A Consensus,"Bioinformatics (Oxford, England)"
Asim A. Siddiqui,Method for Definition of ‘Reliable’Co-Expression Set,BMC systems biology
Javier Santander,EL GEN DE LA BETA-TUBULINA NO ESTÁ MUTADO EN LOS ESTADIOS TEMPRANOS DEL CARCINOMA PULMONAR NO MICROCÍTICO,N/A
Javier Santander,EXPRESIÓN HORMONAL Y DE RECEPTORES OPIOIDES EN PULMÓN FETAL Y DEL ADULTO,N/A
Javier Santander,Biomarcadores en el carcinoma pulmonar,N/A
Javier Santander,ANÁLISIS DE EXPRESIÓN DE VIRUS DEL HERPES TIPO 8 EN SARCOMA DE KAPOSI EN EVOLUCIÓN.,N/A
Javier Santander,PRESENCIA DE SECUENCIAS DE ADN DEL VIRUS DEL HERPES TIPO 8 EN PSEUDOTUMOR INFLAMATORIO PULMONAR.,N/A
Kaitlyn Morse,Brief exposure of skin to near-infrared laser modulates mast cell function and augments the immune response,The Journal of Immunology
Kaitlyn Morse,"Breadth of the CD4+ T cell response to Anaplasma marginale VirB9-1, VirB9-2 and VirB10 and MHC class II DR and DQ restriction elements",Immunogenetics
Kaitlyn Morse,Immunogenicity and Linked Recognition of,N/A
Kaitlyn Morse,Immunogenicity and linked recognition of Anaplasma marginale type IV secretion system proteins,Immunogenicity and linked recognition of Anaplasma marginale type IV secretion system proteins
Kaitlyn Morse,Immunogenicity of Anaplasma marginale T4SS proteins (43.18),N/A
Yun Sun,Conference 9056: Electroactive Polymer Actuators and Devices (EAPAD) XVI,Technical Summaries
Yun Sun,"Strengthening Alginate/Polyacrylamide Hydrogels Using Various Multivalent Cations (vol 5, pg 10418, 2013)",ACS applied materials & interfaces
Yun Sun,유연전자회로를 위한 폴리머 기판/세라믹 아일랜드를 사용한 획기적 유연성 확보기술,N/A
Yun Sun,The Stepwise Cross-sectional Crystalline Analysis of the Stress Induced Voiding in Cu Interconnect,N/A
Yun Sun,Islands stretching test for measuring the fracture energy of the interface between a hard film and a soft substrate,N/A
Carlos J. Blondel,Correction: Differential Expression of In Vivo and In Vitro Protein Profile of Outer Membrane of Acidovorax avenae Subsp. avenae,PLoS One
Carlos J. Blondel,Spontaneous Excision of the Salmonella enterica Serovar Enteritidis-Specific Defective Prophage-Like Element SE14,N/A
Carlos J. Blondel,"RIO BLANCO, CHILE",N/A
Carlos J. Blondel,Identification of Type VI Secretion Systems Effector Proteins That Contribute to Interbacterial Competition in Salmonella Dublin,Frontiers in Microbiology
Carlos J. Blondel,Identification of Effector Proteins Contributing to Interbacterial Competition Mediated by Type VI Secretion Systems in Salmonella Dublin,N/A
Jiale Ma,High-Level Acquisition of Maternal Oral Bacteria in Formula-Fed Infant Oral Microbiota,Mbio
Jiale Ma,Clinical utility of subgingival plaque-specific bacteria in salivary microbiota for detecting periodontitis,PloS one
Jiale Ma,Compositional Shift of Oral Microbiota Following Surgical Resection of Tongue Cancer,Frontiers in Cellular and Infection Microbiology
Jiale Ma,Yogurt product intake and reduction of tooth loss risk in a Japanese community,N/A
Hakan Akca,TÜMÖR BASKILAYICI GENLER,Marmara Medical Journal
Hakan Akca,Expression of Caspase-9 in Early and Locally Advanced Stage Squamous Cell Lung Cancer,N/A
Hakan Akca,"Roxana Pincheira, Chandrashekhar K. Korgaonkar, and David B. Donner",N/A
Hakan Akca,Their Antitumor Activity Through Induction of p53-Mediated Apoptosis on Human Breast Cancer Cell Line MCF-7 Cells,N/A
Hakan Akca,"Relationship between ADRB3, ARHGEF10 and ROCK2 gene polymorphisms and clinical findings in over active bladder patients Elif Firat1, Zafer Aybek2, Sakir Akgun3, Kursat Kucuker2 …",N/A
M. Sisto,Inducible nitric oxide synthase expression Leishmania-infected dog macrophages,N/A
M. Sisto,Detection of inducible nitric oxide synthase and nitric oxide production in Leishmania infantum-infected human macrophages,N/A
M. Sisto,Effects of intravenous gamma-globulin administration on the immune response in patients with multiple sclerosis.,N/A
M. Sisto,Evaluation of nitric oxide production by human macrophages in vitro infected with Leishmania infantum and stimulated by IFN-gamma and bacterial lipopolysaccharide,N/A
M. Sisto,Prostaglandin (PG) E~ 2 increases nitric oxide production in Leishmania infantum-infected human macrophages,N/A
Xiaoyan Xiao,Unravelling the critical mechanism by which pre-ozonation affects ultrafiltration membrane fouling via investigation of the relative size and interfacial forces,N/A
Xiaoyan Xiao,Iron-enhanced primary sedimentation and acidogenic sludge fermentation to achieve self-sufficient organic carbon supply for enhanced nutrient removal in wastewater treatment✰,N/A
Xiaoyan Xiao,Modelling of sediment nutrient fluxes for a pulsed organic load,International Journal of Environment and Pollution
Xiaoyan Xiao,Purification of organic acids using electrodialysis with bipolar membranes (EDBM) combined with monovalent anion selective membranes,N/A
Xiaoyan Xiao,"Diversity, abundance, and distribution of anammox bacteria in shipping channel sediment of Hong Kong by analysis of DNA and RNA",N/A
 Eileen O�Toole,Small-molecule inhibitors at the PSD-95/nNOS interface protect against glutamate-induced neuronal atrophy in primary cortical neurons,N/A
 Eileen O�Toole,Inhibitors of the NMDA-nitric oxide signaling pathway protect against neuronal atrophy and synapse loss provoked by l-alpha aminoadipic acid-treated astrocytes,N/A
 Eileen O�Toole,Astrocytic Ablation by L-Alpha Aminoadipic Acid (L-AAA) Reduces Measures of Neuronal Complexity In Vitro,N/A
 Eileen O�Toole,The Impact of Pharmacological Modulation of the NMDA-receptor/NO Signalling Pathway on Neuronal Complexity in Vitro,N/A
 Eileen O�Toole,Astrocytic dysfunction induced by l-alphaaminoadipic acid reduces measures of neuronal complexity in vitro; rescue by NMDA receptor antagonists,N/A
 Susan K. Dutcher,"Two Flagellar Genes, AGG2 and AGG3, Mediate Orientation to Light",Current Biology
 Susan K. Dutcher,"Monday, February 17, 2014 361a",N/A
 Susan K. Dutcher,"52a Sunday, February 26, 2012",Biophysical Journal
 Susan K. Dutcher,Cumulative index to authors,N/A
 Susan K. Dutcher,The next issue of this journal Growth and Development Edited by Jeff Errington and Claudio Scazzocchio,N/A
 Fangfang Zhang,Research Article Travel Time Reliability for Urban Networks: Modelling and Empirics,N/A
 Fangfang Zhang,Urban Route Travel Time Distribution Estimation Considering Spillback: An Analytical Model,N/A
 Fangfang Zhang,The calibration of an urban travel time distribution,N/A
 Fangfang Zhang,Estimating urban travel time distribution using probe vehicle data,N/A
 Fangfang Zhang,Speed Estimation on Freeways Using Floating Cars Equipped with GPS Receivers,N/A
 Ruixue Wang,Application of a non-thermal plasma to a tooth root canal,N/A
 Ruixue Wang,Increasing resource efficiency through continuous monitoring from exploration to processing,BOOK OF ABSTRACTS
 Ruixue Wang,MR Lymphography with Fe3O4 Nanoparticles in Rabbits: In vivo Investigation of Metabolism of Fe3O4 Nanoprobes,N/A
 Ruixue Wang,Low-temperature non-thermal plasma configurations for medical application,N/A
 Ruixue Wang,Comparison of The Real-Time And Long Last Disinfection Abilities Of A Direct-Current Cold Atmospheric-Pressure Micro-Jet,N/A
 Steven D. London,Content analysis of the professional journal of the Royal College of Speech and Language Therapists III: 1966-2015-into the twenty first century,International Journal of Language and Communication Disorders
 Steven D. London,"The perspectives of others: what do people think of…? Investigating experiences, perceptions and attitudes towards SLT related issues",N/A
 Steven D. London,""" Today I'll try not to guess what you're saying"": a study using conversation analysis to investigate the process of other completion in multi-turn utterances between a person …",N/A
 Steven D. London,Factors affecting decision of parents to select blended tube feeding for gastrostomy-fed children,N/A
 Lucille London,Strengthening health systems research capacity: South African experiences..-,BMC health services research
 Lucille London,SDH-Net United,N/A
 Lucille London,Improving and monitoring the equity of health care provision: A discussion of the selection of indicators,A Travelling Seminar on the Attainability and Affordability of Equity in Health Care Provision
 Lucille London,UN RISD,N/A
 Lucille London,5. Investigating policy and system change over time,N/A
 Pramod P. Mehta,Ratiometric fluorescent detection of silver nanoparticles in aqueous samples using peptide-based fluorogenic probes with aggregation-induced emission characteristics,N/A
 Pramod P. Mehta,"Platinum (II) complex of 5-hydroxypyridine-2-carbaldehyde N(4)-ethylthiosemicarbazone: synthesis, characterization and antineoplastic activity",N/A
 Pramod P. Mehta,Palladium (II) Complex of the 5-Hydroxypyridine-2-carbaldehyde N (4)-ethylthiosemicarbazone: Synthesis and Characterization,Journal of Nepal Chemical Society
 Pramod P. Mehta,Sensitive and selective ratiometric fluorescent detection of monosaccharides in aqueous solutions at physiological pH using self-assembled peptides with different aromatic side …,New Journal of Chemistry
 Pramod P. Mehta,Ratiometric fluorescent detection of lead ions in aquatic environment and living cells using a fluorescent peptide-based probe,N/A
 Sangita M. Baxi,The Gas6 Receptor Axl Enhances Platelet Activation Responses through Stimulation of PI3kinase-and PLC-Dependent Signaling Pathways.,N/A
 Sangita M. Baxi,The Gas6 receptor AxI enhances platelet activation responses through stimulation of P13kinase-and PLC-Dependent signaling pathways.,N/A
 Sangita M. Baxi,Dual Functional Monoclonal Antibody PF-04605412 Targets Integrin a5b1 and Elicits Potent Antibody-Dependent Cellular Cytotoxicity,N/A
 Sangita M. Baxi,"Effective Targeting of Triple Negative Breast Cancer Cells by PF-4942847, a Novel Oral Inhibitor of Heat Shock Protein 90",N/A
 Sangita M. Baxi,Targeting Small Cell Lung Cancer Harboring,Clinical Cancer Research
  Peng Xu,Theoretical study of cold Cesium atomic beam active optical clock,N/A
  Peng Xu,A theoretical study on Fresnel biprism interference experiments,N/A
  Peng Xu,"Tuesday, June 17, 2008-4: 00 PM Room 8a (McKimmon Conference Center)",N/A
  Peng Xu,A Method to remove MRI Artifact from Continuous EEG based on the combination of FASTR and ARX,N/A
  Peng Xu,EEG Mapping of the Brain Listening to Music with Different Tempo: Evidences from Zero Reference EEG,2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society
 Han Liu,A Doubly Adaptive Inferential Method for Monotone Graph Invariants,N/A
 Han Liu,An Improved Convergence Analysis of Cyclic Block Coordinate Descent-type Methods for Strongly Convex Minimization,Artificial Intelligence and Statistics
 Han Liu,Statistical and Computational Tradeoff of Regularized Dantzig-type Estimators,N/A
 Han Liu,A realistic method for real-time obstacle avoidance without the Calculation of Cspace Obstacles,J. Comput. Sci & Technol
 Han Liu,"Zhang, Cun-Hui. Transelliptical graphical models",Advances in neural information processing systems
 Jingdong Zhang,沸石去除水中二价铁的研究,N/A
 Jingdong Zhang,藻类对湖泊水体中甲拌辛光降解的影响,N/A
 Jingdong Zhang,水质灾害成因及控制对策,N/A
 Jingdong Zhang,流动注射—荧光熄灭法测定水中的铜,N/A
 Jingdong Zhang,重金属污染物检测及污水处理技术试验研究,大型水生植物在水污染治理中的应用研究进展
 Huangui Xiong,Memantine protects hippocampal neuronal function in murine HIV-1 encephalitis,Journal of Neuroscience
 Huangui Xiong,CD4+ CD25-effector T cells inhibit high-frequency induce long term potentiation in acute hippocampal slices,N/A
 Huangui Xiong,BASIC SCIENCE-Pathogenesis-Unraveling the Mechanisms of Neurotoxicity in HIV Type 1-Associated Dementia: Inhibition of Neuronal Synaptic Transmission by Macrophage Secretory …,N/A
 Huangui Xiong,Angiotensin II modulates glutamate-induced depolarizations and synaptic transmission in rat locus coeruleus neurons in vitro.,Angiotensin II modulates glutamate-induced depolarizations and synaptic transmission in rat locus coeruleus neurons in vitro
 Huangui Xiong,Proton Magnetic Resonance Spectroscopic Imaging with Neuropathological and Neurophysiological Analyses Defines the Extent of Neuronal Impairments in Murine HIVE-1 Encephalitis,N/A
 Jianzhi Zhang,The Nature and Phylogenomic Impact of Sequence Convergence,N/A
 Jianzhi Zhang,Toward understanding the evolutionary histories and mechanisms of mangroves,N/A
 Jianzhi Zhang,Toward predicting evolution,Medical physics
 Jianzhi Zhang,Neutral Theory,Trends in ecology & evolution
 Jianzhi Zhang,Gene duplication,Trends in ecology & evolution
 Fang Fang,Research on Gaoyou Farmers’ Training Demands and the Countermeasures,N/A
 Fang Fang,"Influence of Pressboard Physico-Chemical Composition on Static Electrification in Power Transformers............ Thierry Paillat, Ludivine Onic, Olivier Moreau, Yves Bertrand …",IEEE Transactions on Industry Applications
 Fang Fang,Vice Chairs,N/A
 Fang Fang,"Introduction on the cosmetic, quasi-drugs control in Japan",N/A
 Fang Fang,Pulse Width Modulation Control Based on Pulse Encode and Pulse Rotation for Cascade Neutral Point Clamped Inverter,N/A
 Nan Wu,Regulation of membrane potential and currents by adenosine and adenine nucleotides in guinea pig cardiomyocytes,N/A
 Nan Wu,INCREASED SENSITIVITY OF CARDIOMYOCYTES TO ADENOSINE AND UP-REGULATION OF A1 RECEPTOR NUMBER IN VENTRICLES FROM GUINEA-PIGS FED THEOPHYLLINE,N/A
 Nan Wu,"Block of L-type Ca2+ current by beauvericin, a toxic cyclopeptide, in the NG108-15 neuronal cell line [recurso electrónico]",N/A
 Nan Wu,Volume-sensitive Chloride Channels Associated with Human Cervical,N/A
 Nan Wu,Kaohsiung J Med Sci 14994041991,N/A
 Qingfeng Zheng,Prédiction de chlorures d'hydrogène H,N/A
 Qingfeng Zheng,Lyakhov school on Computational Materials Science Evolutionary structure prediction using the USPEX code,N/A
 Qingfeng Zheng,Crystal structure prediction using the USPEX code,N/A
 Qingfeng Zheng,Supplementary Online Materials: Formation of Stoichiometric CsFn,N/A
 Qingfeng Zheng,Evolutionary structure prediction using the USPEX code,Computer Physics Communications
 Yue Yang,An Alternative Method of Source Reconstruction and Identification,N/A
 Yue Yang,IEICAEN,N/A
 Yue Yang,Isospin Non-equilibration,N/A
 Yue Yang,SQM2006 Organising and International Advisory Committees,N/A
 Yue Yang,Committees of the Quark Matter 2005 Conference,N/A
 Matthew Thomas Doyle,The virulence domain of Shigella IcsA contains a subregion with specific host cell adhesion function.,PloS one
 Matthew Thomas Doyle,A small conserved motif supports polarity augmentation of Shigella flexneri IcsA,Microbiology
 Matthew Thomas Doyle,Lipopolysaccharide surface structure does not influence IcsA polarity,FEMS microbiology letters
 Matthew Thomas Doyle,Cryo-EM structures reveal multiple stages of bacterial outer membrane protein folding,bioRxiv
 Renato Morona,MOLECULAR-CLONING OF THE TO1C LOCUS WITH THE AID OF THE TN10 TRANSPOSON,N/A
 Renato Morona,Welcome to My Research! layer,Acta Medica Iranica
 Renato Morona,"Neutralization of Shiga Toxins Stx1, Stx2c",N/A
 Renato Morona,361 Vanillin and ferulic acid: not the major degradation products of curcumin 363 Low stability remedies the low bioavailability of curcumin,N/A
 Renato Morona,49 The dynamic personality of TATA-binding protein,N/A
 Grazia Serino,ALTERED ANTIGEN HANDLING AND INVOLVEMENT OF THE CX3CR1-FKN AXIS IN PROMOTING HEMATURIA IN IGA NEPHROPATHY PATIENTS,N/A
 Grazia Serino,Hyperactivation of WNT-β-Catenin and PI3K/Akt Pathways in Monocytes and B Lymphocytes of IgA Nephropathy (IgAN) Patients Could Lead to a Defect in Antigen Handling,N/A
 Grazia Serino,CRENIGACESTAT INHIBITS iCCA TUMOR PROGRESSION VIA NOTCH1/HES1/CD90 PATHWAY,N/A
 Grazia Serino,King’s Research Portal,Public Health Genomics
 Grazia Serino,Supplementary Tables and Figures Activated Innate Immunity and Involvement of the CX3CR1-FKN Axis in Promoting Hematuria in IgA Nephropathy Patients,N/A
 Claudia Curci,Complement Mediated Endothelial Cell (EC) Activation in a Swine Model of Renal Ischemia/Reperfusion (I/R) Injury,Molecular Immunology
 Claudia Curci,Therapeutic Targeting of Classical and Lectin Pathways of Complement (C) Protects the Kidney from Ischemia-Reperfusion (I/R) Injury Inhibiting the Activation of Dendritic Cells.,The American journal of pathology
 Claudia Curci,3p microsatellite evaluation in NSCLC exhaled breath condensate: validation study,N/A
 Claudia Curci,High Levels of Gut Homing IgA+ B Lymphocytes Support the Pathogenic Role of Intestinal Mucosal Hyper-responsiveness in IgA Nephropathy Patients,N/A
 Claudia Curci,Adrenomedullin and Receptor for Urokinase Plasminogen Activator are involved in Hereditary Angioedema attacks: a transcriptomic study,N/A
 Sharon N. Cox,"Measuring the impact of the Capital Card®, a novel form of contingency management, on substance use treatment outcomes: A retrospective evaluation",Plos one
 Sharon N. Cox,Understanding others through the bottom of a glass: alcohol dependence factors affecting social and emotional processing,N/A
 Sharon N. Cox,Tobacco Use 2012/13,BMC Public Health
 Sharon N. Cox,Supplementary Tables and Figures Activated Innate Immunity and Involvement of the CX3CR1-FKN Axis in Promoting Hematuria in IgA Nephropathy Patients,N/A
 Sharon N. Cox,LA RICERCA DEI GENI CANDIDATI RESPONSABILI DELLA IGA NEFROPATIA. DALLA GENETICA ALLA GENOMICA.,N/A
 Giuseppe DePalma,"COVID-19 Outbreak in Lombardy, Italy: An Analysis of the Short-Term Role of Air Pollution and Meteorological Factors",Italy: An Analysis of the Short-Term Role of Air Pollution and Meteorological Factors
 Giuseppe DePalma,COVID-19 Literatura global sobre doença de coronavírus,N/A
 Giuseppe DePalma,LAYMAN’S REPORT,Journal of vascular surgery
 Giuseppe DePalma,Supplement: Details on the ReNaM and Geoparkinson Questionnaires,N/A
 Giuseppe DePalma,MONITORAGGIO DELL’ESPOSIZIONE PROFESSIONALE A BENZENE AMBIENTALE NEI VIGILI URBANI E NEI TASSISTI DELLA CITTÀ DI PARMA,URBAN POLLUTION: GENERAL POPULATION AND EXPOSED WORKERS
 Francesco P. Schena,Transplantation–immunosuppression and clinical trials,N/A
 Francesco P. Schena,La terapia della nefrite lupica: stato dell’arte,N/A
 Francesco P. Schena,La gestione delle risorse umane,Dalle teorie alle persone
 Francesco P. Schena,LA RICERCA DEI GENI CANDIDATI RESPONSABILI DELLA IGA NEFROPATIA. DALLA GENETICA ALLA GENOMICA.,N/A
 Francesco P. Schena,"YanLi Gao, WanZhong Zou, HongRui Dong, YiPu Chen. Center of Nephrology, China-Japan Friendship Hospital, Beijing, China This study was designed to observe oncogenesis in rat …",N/A
 Qing Zhang,Synthesis and Characterization of Poly (ethylene Glycol)-Polyethlenimine Copolymer,N/A
 Qing Zhang,An Exploration to Superior Individual Selection of Illicium vercum,N/A
 Qing Zhang,Children supracondylar fracture of humerus treated with closed manipulative reduction and Kirschner wire internal fixation,N/A
 Qing Zhang,Two-way Balanced Mechanical Seal,N/A
 Qing Zhang,Development of a new experimental method to determine critical pigment-volume-concentrations using impedance spectroscopy. Part II: Solvent based coatings with components …,N/A
 Qingling Yang,Peroxisome proliferator-activated receptor gamma is essential to maintain myocardial redox homeostasis,Circulation research
 Qingling Yang,Inactivation of focal adhesion kinase in cardiomyocytes promotes cardiac eccentric hypertrophy and fibrosis in mice,The Journal of clinical investigation
 Qingling Yang,Structure/function studies of truncated cardiac myosin binding protein C in transgenic mice,N/A
 Qingling Yang,A mouse model of myosin binding protein C familial hypertrophic cardiomyopathy,N/A
 Qingling Yang,"Generation of an Inducible, Cardiomyocyte-Speci fi c Transgenic Mouse Model with PPAR b/d Overexpression",N/A
 Changjie Chen,"Measuring the impact of transportation diversity on disaster resilience in urban communities: Case study of Hurricane Harvey in Houston, TX","Computing in Civil Engineering 2019: Smart Cities, Sustainability, and Resilience"
 Changjie Chen,"Evaluating impacts of coastal flooding on the transportation system using an activity-based travel demand model: a case study in Miami-Dade County, FL",Transportation
 Changjie Chen,Building Capacity for Decision Makers in Ghana for Sustainable Land Use Planning using Earth Observations and Open-Source GIS Tools,N/A
 Changjie Chen,PyLUSAT: An open-source Python toolkit for GIS-based land use suitability analysis,arXiv preprint arXiv:2107.01674
 Jun Xia,Reconstruction of reionization history through dispersion measurements of fast radio bursts,N/A
 Jun Xia,Searching for Integrated Sachs–Wolfe Effect from Fermi-LAT diffuse γ-ray map,Physics of the Dark Universe
 Jun Xia,ECoPANN: A Framework for Estimating Cosmological Parameters Using Artificial Neural Networks,The Astrophysical Journal Supplement Series
 Jun Xia,Impacts of the simulated standard siren on estimating cosmological parameters,arXiv preprint arXiv:2006.09841
 Jun Xia,Testing CPT symmetry with the cosmic microwave background radiation,N/A
 Zhiwei Wang,A New Method for Extracting Chenopodium Quinoa Starch,"DEStech Transactions on Environment, Energy and Earth Sciences"
 Zhiwei Wang,Application of Continuous Circulation Drilling in Extended Reach Wells in the Panyu Oilfield,Journal of Southwest Petroleum University (Science & Technology Edition)
 Zhiwei Wang,Transformation of Sludge Characteristics in a Full-Scale Submerged Membrane Bioreactor (MBR) for Supermarket Wastewater Treatment,N/A
 Zhiwei Wang,School of Environmental and Chemical Engineering,Journal of the American Chemical Society
