x-coordinate,y-coordinate,Similarity_score
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Association of Presence of Aspergillus Antibodies with Hemoptysis in Patients with Old Tuberculosis .html,0.017378519922708516
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Astakine 2—the Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans.html,0.9657124147945384
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses throu.html",0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections.html,0.01489713596376305
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Autoantibodies from Sjögren's syndrome induce activation of both the intrinsic and extrinsic apoptot.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer .html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiat.html,0.017204217202370805
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway.html,0.9676706781887521
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Indu.html,0.9594051307165122
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibi.html,0.12884415909469085
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF.html,0.9610721739930836
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis.html,0.007304714942625026
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides fr.html,0.9634263064749798
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis.html,0.12010636910002288
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,cDNA cloning and functional analysis of goose interleukin-2.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cell Atavistic Transition Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells durin.html,0.9265378386431827
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Characterization of a Large Outbreak by CTX-M-1-Producing Klebsiella pneumoniae and Mechanisms Leadi.html,0.016901439711224604
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangemen.html,0.9476093368979391
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cisplatin in combination with zoledronic acid A synergistic effect in triple-negative breast cancer .html,0.06306939018151451
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis.html,0.9941469972547183
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocy.html,0.0175378884747519
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apop.html,0.13069223314636239
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Vi.html,0.967452083585158
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell mi.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local.html,0.979658235591412
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,D14–SCFD3-dependent degradation of D53 regulates strigolactone signalling.html,0.9643422251093668
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Development and Evaluation of a Sensitive and Specific Assay for Diagnosis of Human Toxocariasis by .html,0.017838481097370622
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby .html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Differential chemokine expression in tubular cells in response to urinary proteins from patients wit.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues.html,0.9699081704904612
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psori.html",0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Distinct expression of C4.4A in colorectal cancer detected by different antibodies.html,0.08226111142542541
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Distinct Roles of Pattern Recognition Receptors CD14 and Toll-Like Receptor 4 in Acute Lung Injury.html,0.0175378884747519
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Distribution of the Secondary Type III Secretion System Locus Found in Enterohemorrhagic Escherichia.html,0.017560044929658583
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Col.html,0.9553027806695508
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblast.html,0.9692544704561491
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability.html",0.01767188727858198
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine.html,0.9629680167831763
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting C.html,0.9738627760528644
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection.html",0.014872174804762328
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression Differential expression pattern.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Effects of ethanol on monosodium urate crystal-induced inflammation.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Effects of Moraxella (Branhamella) ovis Culture Filtrates on Bovine Erythrocytes, Peripheral Mononuc.html",0.016980359515440278
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Ca.html,0.9660752658587023
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer c.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a.html,0.9632997448162531
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr O.html,0.01953703359453376
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Essential roles of PI(3)K–p110b in cell growth, metabolism and tumorigenesis.html",0.9979213815829471
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through re.html,0.0449581977444688
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Hetero.html,0.016359680005901434
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Ad.html,0.9696899568977256
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity.html,0.08514273800843787
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lun.html",0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,False-Positive Results in a Recombinant Severe Acute Respiratory Syndrome-Associated Coronavirus (SA.html,0.018986441258510657
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen o.html,0.015779430703790055
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Fine Tuning Inflammation at the Front Door Macrophage Complement Receptor 3-mediates Phagocytosis an.html,0.9648755542550526
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,First Infection with VanD-Type Glycopeptide-Resistant Enterococcus faecium in Europe.html,0.014985638282960468
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr Erk Signalling.html,0.9648127349730686
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augm.html,0.9597154787918555
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Frequent methylation and oncogenic role of microRNA-34bc in small-cell lung cancer.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinom.html,0.061793675463224215
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast.html,0.0175378884747519
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Respo.html,0.9560553783713468
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcell.html,0.9658325578587755
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by .html,0.01804408546336068
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immu.html,0.01659996542035588
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma.html,0.04484838800611461
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.html,0.9784814064030897
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Genotyping and Phenotyping of Beta2-Toxigenic Clostridium perfringens Fecal Isolates Associated with.html,0.016561264035041837
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa.html,0.12047026740177823
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor.html,0.9332586054674364
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa clustering of PvdA a.html,0.10010321929202372
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity.html,0.9693342819345292
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway.html,0.9773176643386509
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,HtrA1 in human urothelial bladder cancer A secreted protein and a potential novel biomarker.html,0.1342433609823014
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Int.html,0.9718468294030492
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Identification of the pollen self-incompatibility determinant in Papaver rhoeas.html,0.9953279260609501
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells.html,0.9900940269789053
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater i.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental au.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Ty.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mo.html,0.015868693017642235
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcrip.html,0.12414486673185024
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast .html,0.014221200202378534
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse.html,0.1258443270215354
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Eff.html,0.10038607213709373
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease A.html",0.09979331285066773
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability.html,0.015904396705998736
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast ca.html,0.9699144086640304
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Kaiso is expressed in lung cancer Its expression and localization is affected by p120ctn.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii.html,0.967424260358357
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Lactobacillus bulgaricus Prevents Intestinal Epithelial Cell Injury Caused by Enterobacter sakazakii.html,0.01809224778368648
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-.html,0.034689663007573646
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell .html",0.9746921129679971
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis.html,0.007304714942625026
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but witho.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protea.html,0.9637678167688606
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts tha.html,0.018870379902689537
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bov.html,0.015508321336109932
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovin.html,0.0175378884747519
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Meningococcal Porin PorB Prevents Cellular Apoptosis in a Toll-Like Receptor 2- and NF-__B-Independe.html,0.0159723410909187
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor C.html",0.9591051237681366
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells.html",0.9591051237681366
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells.html,0.9669206586018342
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulat.html,0.9700418884135948
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cyto.html,0.9669297118147122
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of .html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy.html,0.9923282480888531
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Molecular Cloning, Expression and Serological Evaluation of an 8-Kilodalton Subunit of Antigen B fro.html",0.016043130728372393
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor o.html",0.007304714942625026
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacill.html,0.9686827162632631
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH home.html,0.9769342467248293
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans.html,0.9810937340255842
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomi.html,0.9723555694921165
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the .html,0.018447229749666217
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection.html,0.014747250317802475
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombin.html,0.012260708385047885
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Boun.html,0.9692422248876424
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leadin.html,0.9878259407365098
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Ovarian cancer cells, not normal cells, are damaged by MirkDyrk1B kinase inhibition.html",0.06476846930407258
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host G.html,0.9673488883556978
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experim.html,0.9605722812458574
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Physical characterisation of Tenacibaculum maritimum for vaccine development.html,0.09454466510036447
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila IcmDot System.html,0.015612556213947935
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via S.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for D.html,0.1126878281308172
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced r.html,0.06912863727350571
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in.html,0.08154632289960406
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets.html,0.9661999304794386
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recrui.html,0.017380791887374483
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Geneti.html",0.9666481931456878
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-.html,0.01677776289522764
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Rab1A Is an mTORC1 Activator and a Colorectal Oncogene.html,0.007304714942625026
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A .html,0.12026946512617026
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress.html,0.018138015066018146
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Regulated Expression of the Beta2-Toxin Gene ( cpb2) in Clostridium perfringens Type A Isolates from.html,0.016853660074752634
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate.html,0.012638242215333837
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells.html,0.9716138096889938
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Repression of microRNA-768-3p by MEKERK signalling contributes to enhanced mRNA translation in human.html,0.9930825243568542
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster V.html,0.9691050756991053
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in R.html,0.016154770168758548
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human per.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression.html,0.9642299241187519
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathway.html,0.0175378884747519
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Shox2 is a molecular determinant of depot-specific adipocyte function.html,0.01605093292617227
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+K+ ATPase in HepG2 cells.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Am.html",0.9614153675584339
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels.html,0.01311004404274622
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Stac3 Inhibits Myoblast Differentiation into Myotubes.html,0.9373827938404017
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,STAT1 and STAT3 phosphorylation by porins are independent of JAKs but are dependent on MAPK pathway .html,0.006436774164645162
