article,author,co-authors
Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,Jungchan Park,50
Bacillus anthracis Capsule Activates Caspase-1 and Induces Interleukin-1__ Release from differentiated THP-1 and Human Monocyte-Derived Dendritic Cells__,Jeong-Hoon Chun,N/A
Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,Tomoko Kurita-Ochiai,50
Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,Yoshimitsu Abiko,N/A
Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,Satoshi Yuzawa,N/A
Nasal Immunization with a Fusion Protein Consisting of the Hemagglutinin A Antigenic Region and the Maltose-Binding Protein Elicits CD11c__ CD8__ Dendritic Cells for Induced Long-Term Protective Immunity__,Yuan Du,N/A
Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,Xavier Charpentier,N/A
Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,Anne Vianney,50
Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,Jean-Claude Lazzaroni,N/A
Protein Kinase LegK2 Is a Type IV Secretion System Effector Involved in Endoplasmic Reticulum Recruitment and Intracellular Replication of Legionella pneumophila__,Christophe Gilbert,50
Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,Asim A. Siddiqui,N/A
Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,Jesse Schloegel,N/A
Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,Lenore Carias,N/A
Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,F.B. Ntumngia,50
NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,Sanjay Batra,50
NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,Gayathriy Balamayooran,26
NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,Shanshan Cai,N/A
NOD2 Signaling Contributes to Host Defense in the Lungs against Escherichia coli Infection,Koichi S Kobayashi,N/A
Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,Greg Golden,10
Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,Soo-Young Wanda,N/A
Fur-Regulated Iron Uptake System of Edwardsiella ictaluri and Its Influence on Pathogenesis and Immunogenicity in the Catfish Host,Roy Curtiss,50
"Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale",Eric L Sutten,19
"Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale",Junzo Norimine,N/A
"Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale",Kaitlyn Morse,45
"Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-2 and VirB10 in Anaplasma marginale",Timothy V Baszler,50
Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,Wael Hegazy,50
Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,Xin Xu,50
Evaluation of Salmonella enterica Type III Secretion System Effector Proteins as Carriers for Heterologous Vaccine Antigens,Leonid S Metelitsa,N/A
"Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection",Li Sun,N/A
"Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection",Yun Sun,50
"Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection",Wen-jiang Zheng,N/A
"Edwardsiella tarda Eta1, an In Vivo-Induced Antigen That Is Involved in Host Infection",Bo-Guang Sun,N/A
The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,Juan C Jiménez,N/A
The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,Lorenzo E Leiva,N/A
The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,Sergio A. Álvarez,N/A
The Type VI Secretion System Encoded in Salmonella Pathogenicity Island 19 Is Required for Salmonella enterica Serotype Gallinarum Survival within Infected Macrophages,Bernardo I Pinto,50
Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,Xin Deng,50
Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,Chuan He,N/A
Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,Bisong Yue,50
Pseudomonas aeruginosa Outer Membrane Vesicles Modulate Host Immune Responses by Targeting the Toll-Like Receptor 4 Signaling Pathway,Min Wu,50
Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System,Whitney M Amyot,N/A
Poison Domains Block Transit of Translocated Substrates via the Legionella pneumophila Icm/Dot System,Dennise deJesus,N/A
Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,Brent S Sorenson,50
Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,Karen F Ross,N/A
Augmentation of Epithelial Resistance to Invading Bacteria by Using mRNA Transfections,Mark C Herzberg,50
"Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice",Xingxing Huo,N/A
"Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice",Qingli Luo,N/A
"Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice",Xiucai Xu,N/A
"Reactive Oxygen Species-Triggered Trophoblast Apoptosis Is Initiated by Endoplasmic Reticulum Stress via Activation of Caspase-12, CHOP and the JNK Pathway in Toxoplasma gondii Infection in Mice",Tingting Liu,50
Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,Min Sun,N/A
Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,Yinli Bao,44
Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,Wenyang Dong,44
Two Functional Type VI Secretion Systems in Avian Pathogenic Escherichia coli Are Involved in Different Pathogenic Pathways,Zihao Pan,50
Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis,Norio Ohashi,N/A
Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis,Norio Ohashi,N/A
Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis,Norio Ohashi,N/A
Cloning and Expression of the 44-Kilodalton Major Outer Membrane Protein Gene of the Human Granulocytic Ehrlichiosis Agent and Application of the Recombinant Protein to Serodiagnosis,Norio Ohashi,N/A
