article,author,co-authors
Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,Deok-Won Lee,50
Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,Q-Schick Auh,50
Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,Jun-Yeol Kim,N/A
Involvement of Nrf2-Mediated Upregulation of Heme Oxygenase-1 in Mollugin-Induced Growth Inhibition and Apoptosis in Human Oral Cancer Cells,Ha-Jin Jung,N/A
"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm",Shu-Chuan Wu,N/A
"Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm",Aij-Lie Kwan,50
__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,Jaeson Santos Calla-Choque,50
__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,Rossana Arroyo,50
__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism,Leticia Avila-González,N/A
Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,Yafeng Wang,N/A
Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,Xiaojuan Guo,N/A
Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,Yubing Zhou,50
Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells,Jingmin Zhang,N/A
Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,Gabriel Cao,50
Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,Andrea Carranza,50
Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,Elsa Zotta,N/A
Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet,Susana Gorzalczany,N/A
Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,Yih-Shou Hsieh,50
Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,Jia-Yuh Chen,N/A
Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,Jia-Yuh Chen,N/A
Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo,Jia-Yuh Chen,N/A
