article,author,co-authors
Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,Dipanjan Chanda,50
Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,Seung-Rye Cho,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,David H Price,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,David H Price,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,David H Price,N/A
Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,Seung-Rye Cho,N/A
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Sakthikumar Ambady,50
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Olga Kashpur,N/A
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Alexandra Grella,17
Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,Christopher Malcuit,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Jianrui Lv,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Xiaoming Lei,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Siyuan Li,N/A
Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,Yong Zhang,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Elodie Varin,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Mathieu Armanet,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Cécile Tourrel-Cuzin,50
Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,Domenico Bosco,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,S. Flis,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,Agnieszka Gnyszka,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,Agnieszka Gnyszka,N/A
DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,Agnieszka Gnyszka,N/A
